benign,accelerationMultiplication,constantPositionOffset,constantSpeedOffset,dataReplay,dosAttack,feignedBraking,positionMirroring,randomPositionOffset,randomSpeedOffset,reversedHeading,suddenConstantSpeed,suddenStop,timeDelayAttack,trafficCongestionSybil,zeroSpeedReport
12616658,88704,5282513,1069625,8952510,192103,48721,7530440,40459,776461,551609,133891,792498,9518502,132142,95884
40051,2337251,5957,8259,10631,10022,100337,16845,1023,503473,5818,50442,139,28490,8982,22080
598381,4210,5542111,51439,381692,9193,2273,582228,1013095,31316,33489,5077,64426,501663,24389,4518
833319,8834,252360,3787975,445608,39196,8655,733952,146491,1306320,213326,218290,15338,380621,27228,246027
1366791,9772,528346,113757,4619351,22629,6807,914508,159562,330334,95174,24191,271058,918399,77895,49626
271013,46359,274952,438255,277767,28527479,23823,275144,341050,321116,43061,90127,51236,266730,42869,190819
32778,57414,3920,7467,16652,7323,1793265,5201,905,373340,4622,25877,126,20757,7829,14624
2124339,16404,1135373,540098,1457479,32187,9422,1921272,80138,175528,109552,35076,130549,1525891,30212,17460
14555,1347,657866,46317,224011,31596,1294,65096,8071038,81358,59842,11032,2173,17705,51479,68871
264987,94675,45636,525594,705030,78851,329319,83621,41384,7976560,66144,210139,138334,67061,55015,160910
125657,3821,34558,77988,169315,13604,3557,267426,527435,208888,3837487,2901,968,81661,42174,2540
19055,29153,2688,50872,30357,2539,7395,12063,8249,221898,1425,469702,1144,7488,1992,289120
411428,665,135851,19350,675178,4384,143,344922,24007,84030,6046,8142,2205960,238685,10708,59401
2546843,18875,1014626,225889,1842175,40552,11168,1482551,16116,178660,117678,29230,175318,2054397,35205,22197
2288776,228155,1079829,1257266,5857505,761084,226619,649983,2663652,3150897,1869301,59686,804198,2156998,24171520,641231
16484,14152,2253,83408,142631,8478,8990,9231,48966,265806,4582,1042522,35228,9632,11215,3623602
