round,selected,evaluated,cache_mismatch,lr,accuracy,accuracy_std,accuracy_min,accuracy_max,precision_macro,precision_macro_std,precision_macro_min,precision_macro_max,precision_micro,precision_micro_std,precision_micro_min,precision_micro_max,precision_weighted,precision_weighted_std,precision_weighted_min,precision_weighted_max,recall_macro,recall_macro_std,recall_macro_min,recall_macro_max,recall_micro,recall_micro_std,recall_micro_min,recall_micro_max,recall_weighted,recall_weighted_std,recall_weighted_min,recall_weighted_max,f1_macro,f1_macro_std,f1_macro_min,f1_macro_max,f1_micro,f1_micro_std,f1_micro_min,f1_micro_max,f1_weighted,f1_weighted_std,f1_weighted_min,f1_weighted_max,loss_w_client_mean,ce_orig_client_mean,loss_theta_client_mean,gnorm_w,gnorm_theta,steps_w,skipped_w,steps_theta,skipped_theta,train_sec,eval_sec,vram_train_gb,vram_eval_gb,backend,seconds
1,50,50,0,0.001,0.48260707608706455,0.09973067974629625,0.18249069841933296,0.623944241903636,0.5042196835309858,0.06613676886513621,0.3182369834547473,0.6401204975168584,0.48260707608706455,0.09973067974629625,0.18249069841933296,0.623944241903636,0.616150055876291,0.07569823424376547,0.38439550835212855,0.7097085581420867,0.451765243173073,0.06780243723242625,0.2846429113258117,0.6035349269018699,0.48260707608706455,0.09973067974629625,0.18249069841933296,0.623944241903636,0.48260707608706455,0.09973067974629625,0.18249069841933296,0.623944241903636,0.3893159185750654,0.07524429697975261,0.20305335268520042,0.5657964194007794,0.48260707608706455,0.09973067974629625,0.18249069841933296,0.623944241903636,0.4685800422854646,0.10680708830096466,0.14847843719697768,0.617102609229094,0.6577739870554224,0.27461413749239405,0.28023852129824783,1.377599946300081,1.3250154595552501,84098,0,84098,35,1212.9821952769998,740.3167863259998,7.426117897033691,7.4210124015808105,compiled,1954.690321954
2,50,50,0,0.0009989829694114164,0.4728272874491595,0.09440485449341986,0.21371877097496103,0.6108605589469641,0.5099267653543356,0.06189817627665271,0.3454550117288163,0.6011645577986313,0.4728272874491595,0.09440485449341986,0.21371877097496103,0.6108605589469641,0.6306763576274637,0.05217382637250567,0.40703965348313587,0.6853327493771322,0.45541360111337087,0.06834702191488251,0.30668237815551863,0.5968000218155736,0.4728272874491595,0.09440485449341986,0.21371877097496103,0.6108605589469641,0.4728272874491594,0.09440485449341988,0.213718770974961,0.6108605589469641,0.3889145039008557,0.0728635875962135,0.2276575481229011,0.563351467341447,0.4728272874491595,0.09440485449341986,0.21371877097496103,0.6108605589469641,0.4604297517238149,0.10187536385706547,0.18558021802008895,0.6074914536715044,0.3386943846222072,0.12074711734738484,0.19407490878657854,0.7991952341758949,1.10884435386559,84098,4,84098,9,1015.0764452139997,713.9816271310006,6.979851245880127,7.168289661407471,compiled,1730.5161806209999
3,50,50,0,0.0009959360568425068,0.46632359920132643,0.09376198563097847,0.21469439269801177,0.6081510458313614,0.508953544908998,0.056574913511373254,0.37983208184385836,0.5966697008619164,0.46632359920132643,0.09376198563097847,0.21469439269801177,0.6081510458313614,0.6312752436024609,0.03845923771732118,0.5167375606332227,0.6882045185846908,0.455421075612627,0.06636995799327831,0.32536951319828916,0.6008056127148276,0.46632359920132643,0.09376198563097847,0.21469439269801177,0.6081510458313614,0.4663235992013265,0.09376198563097847,0.21469439269801177,0.6081510458313614,0.38547126152913264,0.06782365171800445,0.25350638074784804,0.5600602240860788,0.46632359920132643,0.09376198563097847,0.21469439269801177,0.6081510458313614,0.4529315424187089,0.09980720656166954,0.19840629985629943,0.6027115442956785,0.24750037159795937,0.08396413615846286,0.1546530626357091,0.5731264459698885,0.915318903939445,84098,3,84098,13,1014.6987900039994,712.444554492,6.979465961456299,7.168802261352539,compiled,1728.6721900919993
4,50,50,0,0.0009908717827105773,0.46423069313932286,0.09224500523772904,0.22214160444472406,0.5965523076441296,0.5048263328849149,0.05318730713455367,0.36380640053831786,0.5910019398054348,0.46423069313932286,0.09224500523772904,0.22214160444472406,0.5965523076441296,0.6288842803509095,0.03730668970576345,0.5294157900528158,0.6937220931795383,0.456569080404732,0.06697757478219452,0.32661489189888854,0.6013583281490605,0.46423069313932286,0.09224500523772904,0.22214160444472406,0.5965523076441296,0.4642306931393228,0.09224500523772904,0.22214160444472403,0.5965523076441296,0.3846208723463916,0.069140802185957,0.24633674860167826,0.5351684035100435,0.46423069313932286,0.09224500523772904,0.22214160444472406,0.5965523076441296,0.45010631004471263,0.09868954860850519,0.19627245688745087,0.5979948921934704,0.18316156316533685,0.06328026877425481,0.13269384566867573,0.46039899434685233,0.8504480018693485,84098,0,84098,17,1013.1758607789998,720.0150703010004,6.979695796966553,7.168289661407471,compiled,1734.7373998889998
5,50,50,0,0.0009838109572043196,0.45781538233657265,0.08960668406802726,0.23281006840874788,0.6014553202142149,0.501453301667288,0.05460748850019835,0.37033022615036915,0.5878720110708167,0.45781538233657265,0.08960668406802726,0.23281006840874788,0.6014553202142149,0.6273633116698045,0.038913597568864505,0.5321097389264824,0.6861129271056277,0.4545714219701796,0.06501149335155273,0.32816237572089735,0.6038632084544191,0.45781538233657265,0.08960668406802726,0.23281006840874788,0.6014553202142149,0.45781538233657265,0.08960668406802727,0.23281006840874788,0.6014553202142149,0.38140220812918474,0.06772110526065125,0.24009499584709354,0.5457524562985188,0.45781538233657265,0.08960668406802726,0.23281006840874788,0.6014553202142149,0.44417806653912806,0.0980429887580871,0.21581813544006095,0.5879756162915106,0.13666966603255915,0.05083951305317516,0.11676441316288105,0.41981609187128155,0.8757955066795813,84098,0,84098,33,1013.8256243529995,715.450427935999,6.979465961456299,7.168802261352539,compiled,1730.6770584959995
6,50,50,0,0.000974782594770281,0.4502705136338466,0.0904296023728156,0.2139400258871035,0.5819777327049236,0.49558272771663986,0.05280038432249133,0.3564081930117836,0.5763873451204741,0.4502705136338466,0.0904296023728156,0.2139400258871035,0.5819777327049236,0.622875923445699,0.03906158394076091,0.5125113708481319,0.6743488299555046,0.4524586764784898,0.06463195073917342,0.3235720109041603,0.5900133653132962,0.4502705136338466,0.0904296023728156,0.2139400258871035,0.5819777327049236,0.45027051363384657,0.09042960237281558,0.21394002588710348,0.5819777327049235,0.3767527779043451,0.06604559857771825,0.2462043660212443,0.5240762514714584,0.4502705136338466,0.0904296023728156,0.2139400258871035,0.5819777327049236,0.43654616223279047,0.09866307759967752,0.18605129716365937,0.577720773754334,0.09953115822624388,0.043377750084338695,0.10253926568884805,0.3800492744439651,0.8859716573974673,84098,0,84098,37,1013.1634954370002,709.0369890080001,6.979695796966553,7.168289661407471,compiled,1723.737569031
7,50,50,0,0.0009638237948862808,0.4500624615347732,0.090016225256145,0.21560320119895815,0.599683701188597,0.49307771604797823,0.052586071381923435,0.35058206296102123,0.5790326530671213,0.4500624615347732,0.090016225256145,0.21560320119895815,0.599683701188597,0.6209675441895326,0.03904491306528792,0.5052917982475362,0.6833404661784768,0.4508953706814715,0.0642090542310716,0.31495226078056515,0.5899356830356133,0.4500624615347732,0.090016225256145,0.21560320119895815,0.599683701188597,0.4500624615347732,0.090016225256145,0.21560320119895815,0.5996837011885969,0.3741597148936662,0.06452623417930159,0.22933021977570478,0.5232324233915258,0.4500624615347732,0.090016225256145,0.21560320119895815,0.599683701188597,0.4354806857204606,0.0986932406536661,0.18423846093737456,0.5835819498506813,0.07603215814340522,0.03790597893838101,0.09121128506419775,0.3457282582366689,0.8742312313635501,84098,0,84098,39,1014.0532104199992,722.2847110870007,6.979465961456299,7.168802261352539,compiled,1737.7846607539996
8,50,50,0,0.0009509795896116975,0.44915065340822236,0.09071701706890484,0.20325065375204562,0.5848572060197319,0.4900715954065829,0.05251421138717529,0.34932882610599386,0.5794967006887886,0.44915065340822236,0.09071701706890484,0.20325065375204562,0.5848572060197319,0.6202904262146247,0.03749225590551812,0.5156884055767665,0.6742809265549545,0.4513975801287129,0.06381444503705962,0.3119355440405657,0.5879052267642322,0.44915065340822236,0.09071701706890484,0.20325065375204562,0.5848572060197319,0.44915065340822247,0.09071701706890482,0.20325065375204565,0.5848572060197319,0.3741586582415203,0.06592789464733555,0.2283131428057724,0.5131552830888104,0.44915065340822236,0.09071701706890484,0.20325065375204562,0.5848572060197319,0.4334258287198931,0.10094774769175464,0.16696640303052096,0.5782645710703,0.061370466094563654,0.03343888782583715,0.08153646987777836,0.3196629720988262,0.8467259873698952,84098,0,84098,45,1013.1218010379998,723.6637421449996,6.979695796966553,7.168289661407471,compiled,1738.3358384809999
9,50,50,0,0.0009363027585410778,0.44476435887230814,0.09084453877335857,0.19141532799391303,0.5821087572434035,0.48773714210077934,0.054252558156659005,0.3476176381249294,0.57532798609055,0.44476435887230814,0.09084453877335857,0.19141532799391303,0.5821087572434035,0.6165134102064248,0.03971628751497499,0.5063232547976533,0.6708516811868674,0.4467767888522392,0.0663942208082948,0.30739152770426903,0.5886689225488988,0.44476435887230814,0.09084453877335857,0.19141532799391303,0.5821087572434035,0.44476435887230814,0.09084453877335857,0.19141532799391303,0.5821087572434035,0.36921604080742776,0.06693775996103038,0.23769197107871298,0.5251206483250874,0.44476435887230814,0.09084453877335857,0.19141532799391303,0.5821087572434035,0.42910837888577547,0.10078213739155698,0.158074276317777,0.5710845738434389,0.0509354214340478,0.029951000165077585,0.07259766974251018,0.29841165671032455,0.803423899609593,84098,1,84098,41,1011.8437073709993,725.9568525200011,6.979465961456299,7.168802261352539,compiled,1739.1981100009998
10,50,50,0,0.0009198536119214611,0.44570187196895394,0.08945337323052907,0.20333307840852205,0.5676137262793315,0.4856511405292321,0.05138766101877401,0.3404474407547936,0.576179329645317,0.44570187196895394,0.08945337323052907,0.20333307840852205,0.5676137262793315,0.6159086169768954,0.03860820423517828,0.511330270868578,0.6716217634922987,0.447871916141436,0.06669907981406827,0.31791713601660126,0.5831707185377287,0.44570187196895394,0.08945337323052907,0.20333307840852205,0.5676137262793315,0.44570187196895394,0.08945337323052907,0.20333307840852205,0.5676137262793315,0.37118092739530356,0.06690097014260413,0.23910898858641036,0.5053462052488995,0.44570187196895394,0.08945337323052907,0.20333307840852205,0.5676137262793315,0.4313184517066999,0.09861352131121101,0.1704895881225612,0.5764016704689235,0.04361241208041356,0.026989263031353943,0.06514364452142372,0.2834744624002467,0.7566091982112318,84098,0,84098,40,1011.2718836649983,720.8668602090002,6.979695796966553,7.168289661407471,compiled,1733.7314170789978
