cid,accuracy,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted
0,0.661237,0.631630,0.661237,0.706908,0.595040,0.661237,0.661237,0.546645,0.661237,0.653987
1,0.355863,0.509917,0.355863,0.646521,0.532296,0.355863,0.355863,0.351278,0.355863,0.272951
2,0.566977,0.604118,0.566977,0.668516,0.520509,0.566977,0.566977,0.460074,0.566977,0.544007
3,0.514322,0.566014,0.514322,0.679976,0.625134,0.514322,0.514322,0.521683,0.514322,0.507619
4,0.609373,0.612925,0.609373,0.714896,0.645286,0.609373,0.609373,0.542403,0.609373,0.605666
5,0.590005,0.623687,0.590005,0.705401,0.573301,0.590005,0.590005,0.528939,0.590005,0.596827
6,0.711874,0.685483,0.711874,0.735596,0.652101,0.711874,0.711874,0.645023,0.711874,0.711882
7,0.557883,0.634024,0.557883,0.708033,0.568803,0.557883,0.557883,0.540157,0.557883,0.579041
8,0.661505,0.616842,0.661505,0.704895,0.681293,0.661505,0.661505,0.623523,0.661505,0.662292
9,0.397936,0.552932,0.397936,0.613305,0.499424,0.397936,0.397936,0.401306,0.397936,0.339983
10,0.611772,0.660429,0.611772,0.732755,0.673999,0.611772,0.611772,0.611314,0.611772,0.592267
11,0.495364,0.581475,0.495364,0.654226,0.463795,0.495364,0.495364,0.409712,0.495364,0.471246
12,0.348399,0.499708,0.348399,0.585662,0.372908,0.348399,0.348399,0.281750,0.348399,0.300766
13,0.551191,0.624865,0.551191,0.698286,0.496873,0.551191,0.551191,0.472767,0.551191,0.537962
14,0.560408,0.667555,0.560408,0.733508,0.530624,0.560408,0.560408,0.464176,0.560408,0.538789
15,0.388708,0.543063,0.388708,0.658577,0.589626,0.388708,0.388708,0.436281,0.388708,0.353558
16,0.386441,0.520750,0.386441,0.655297,0.560286,0.386441,0.386441,0.421836,0.386441,0.326941
17,0.622924,0.657124,0.622924,0.720020,0.680087,0.622924,0.622924,0.614499,0.622924,0.590730
18,0.506666,0.498721,0.506666,0.641635,0.552884,0.506666,0.506666,0.405269,0.506666,0.474270
19,0.453332,0.550583,0.453332,0.645537,0.498496,0.453332,0.453332,0.432626,0.453332,0.447390
