round,selected,evaluated,cache_mismatch,lr,accuracy,accuracy_std,accuracy_min,accuracy_max,precision_macro,precision_macro_std,precision_macro_min,precision_macro_max,precision_micro,precision_micro_std,precision_micro_min,precision_micro_max,precision_weighted,precision_weighted_std,precision_weighted_min,precision_weighted_max,recall_macro,recall_macro_std,recall_macro_min,recall_macro_max,recall_micro,recall_micro_std,recall_micro_min,recall_micro_max,recall_weighted,recall_weighted_std,recall_weighted_min,recall_weighted_max,f1_macro,f1_macro_std,f1_macro_min,f1_macro_max,f1_micro,f1_micro_std,f1_micro_min,f1_micro_max,f1_weighted,f1_weighted_std,f1_weighted_min,f1_weighted_max,loss_w_client_mean,ce_orig_client_mean,loss_theta_client_mean,gnorm_w,gnorm_theta,steps_w,skipped_w,steps_theta,skipped_theta,train_sec,eval_sec,vram_train_gb,vram_eval_gb,backend,seconds
1,20,20,0,0.001,0.561476049039604,0.12661989489953682,0.34590961369784423,0.7582483896294356,0.6029932462524826,0.07553594145083965,0.4772454411925792,0.720904819286581,0.561476049039604,0.12661989489953682,0.34590961369784423,0.7582483896294356,0.6708055542307231,0.09460701679398263,0.41310984083690594,0.7600052659176522,0.543072443710795,0.0750438178180013,0.3541247814550053,0.6717808827450565,0.561476049039604,0.12661989489953682,0.34590961369784423,0.7582483896294356,0.561476049039604,0.12661989489953682,0.34590961369784423,0.7582483896294356,0.4850677980639994,0.101260521081274,0.284465849632789,0.6682374616309923,0.561476049039604,0.12661989489953682,0.34590961369784423,0.7582483896294356,0.5382418750215644,0.13877168377806198,0.2990722295668353,0.7351379464638363,0.609923987639448,0.24443711582622515,0.2380137855567504,1.0613214497637389,0.9508762042686033,84083,6,84083,30,1141.554881903,305.98441492300026,7.335026264190674,7.331989288330078,compiled,1448.1552921799998
2,20,20,0,0.0009989829694114164,0.5618488603141819,0.12413786866491347,0.3539049912264668,0.7550177519664599,0.6158399298842365,0.07011464808859746,0.5101969588305088,0.724725432622489,0.5618488603141819,0.12413786866491347,0.3539049912264668,0.7550177519664599,0.6911357910169607,0.058739221064309226,0.5430873287644575,0.7574356493452722,0.5584759268128723,0.0796400589058744,0.363486511790906,0.6818132371624361,0.5618488603141819,0.12413786866491347,0.3539049912264668,0.7550177519664599,0.5618488603141819,0.1241378686649135,0.3539049912264668,0.7550177519664599,0.49902320615992846,0.10018007515961201,0.28852159536267463,0.673925159575678,0.5618488603141819,0.12413786866491347,0.3539049912264668,0.7550177519664599,0.5394671725126636,0.13676000716620965,0.30522922368198735,0.739488917079593,0.3340208591499662,0.1341414665885921,0.1754626509500982,0.6750285742979412,0.802700328038737,84083,14,84083,28,1059.5565684550002,273.13760314,7.187854766845703,7.079442024230957,compiled,1333.4630003319999
3,20,20,0,0.0009959360568425068,0.5591486164877377,0.11926383136750097,0.3665642847737499,0.7364518536394574,0.6153192332732319,0.0671836005019324,0.5142700716647965,0.7071178820163997,0.5591486164877377,0.11926383136750097,0.3665642847737499,0.7364518536394574,0.6952172182961004,0.05094845022910984,0.5679382420092655,0.7638582189684187,0.5662182389739553,0.07715776551491958,0.3744374309793017,0.6857796092228727,0.5591486164877377,0.11926383136750097,0.3665642847737499,0.7364518536394574,0.5591486164877376,0.11926383136750099,0.36656428477374986,0.7364518536394575,0.49997823470936253,0.10121881188374782,0.28792948620419156,0.6705394610279083,0.5591486164877377,0.11926383136750097,0.3665642847737499,0.7364518536394574,0.5378199894706939,0.13478704746285422,0.3004297612763126,0.7277408842843874,0.20301084002809847,0.10007029985201603,0.12847294911352963,0.4623196547207079,0.684158380685606,84083,12,84083,31,1050.850896296,273.87756907899984,7.020176410675049,7.079824447631836,compiled,1325.3964037869996
4,20,20,0,0.0009908717827105773,0.5573250987353531,0.11404458534973581,0.3714436943418679,0.7417903137182785,0.6134320748836559,0.06150759015778567,0.49210616975845234,0.7064467343829348,0.5573250987353531,0.11404458534973581,0.3714436943418679,0.7417903137182785,0.693283702180888,0.04371431273843932,0.5991472432449878,0.7493825722047855,0.5677864706752775,0.07901688838730804,0.36855218395325945,0.6868598447704903,0.5573250987353531,0.11404458534973581,0.3714436943418679,0.7417903137182785,0.5573250987353531,0.1140445853497358,0.37144369434186797,0.7417903137182784,0.5005066568666107,0.10013424994902631,0.2871211487334726,0.656426446781034,0.5573250987353531,0.11404458534973581,0.3714436943418679,0.7417903137182785,0.5346178882291898,0.13067923988634594,0.3018575991672394,0.7338730369145483,0.14607525001895733,0.08020900872590483,0.10517473084456352,0.3933340654558654,0.5914582502039875,84083,11,84083,34,1050.8761434859998,273.992843131,7.0197553634643555,7.0797319412231445,compiled,1325.5279223380003
5,20,20,0,0.0009838109572043196,0.5541260556419398,0.11407085158604414,0.36644561928748115,0.7360931623497179,0.6133672965326611,0.061275969094687965,0.5114300954375068,0.7040576708794037,0.5541260556419398,0.11407085158604414,0.36644561928748115,0.7360931623497179,0.6925496726712367,0.044454505211094134,0.601290972141147,0.7471349972052926,0.5663173071532827,0.0765315046603196,0.3726596235792008,0.6875643573256339,0.5541260556419398,0.11407085158604414,0.36644561928748115,0.7360931623497179,0.5541260556419398,0.11407085158604414,0.3664456192874811,0.736093162349718,0.5009732424595675,0.0971132314027876,0.2894549830323398,0.6460146542755414,0.5541260556419398,0.11407085158604414,0.36644561928748115,0.7360931623497179,0.533269268966302,0.13044919867156238,0.29669132612901955,0.7263837206629624,0.12179397341438684,0.0686768448540789,0.09233038353837185,0.37219957528339676,0.5335999717530887,84083,14,84083,31,1049.0173843589992,276.34481581399996,7.020176410675049,7.079824447631836,compiled,1326.0027097989996
6,20,20,0,0.000974782594770281,0.5511278936095615,0.11530183256082738,0.3551890317035708,0.7224092754965621,0.611526774122264,0.06199863811845962,0.5130622992747285,0.7127198026833507,0.5511278936095615,0.11530183256082738,0.3551890317035708,0.7224092754965621,0.6896874312712293,0.04695041399142034,0.5791587762121648,0.7593375768083184,0.5643547074385236,0.07787904753832661,0.36469144305315476,0.6945279304111118,0.5511278936095615,0.11530183256082738,0.3551890317035708,0.7224092754965621,0.5511278936095615,0.11530183256082738,0.35518903170357086,0.7224092754965621,0.497022064644124,0.0961993788178765,0.28444468977103604,0.6607053028135345,0.5511278936095615,0.11530183256082738,0.3551890317035708,0.7224092754965621,0.5293794831135785,0.131653507605467,0.2863974975673874,0.715787836990361,0.10486174334756057,0.06040583990718298,0.08366740801430159,0.35528514365076524,0.4980630208893014,84083,11,84083,27,1048.9681987490003,274.94644854299986,7.0197553634643555,7.079442024230957,compiled,1324.687280222999
7,20,20,0,0.0009638237948862808,0.5464336235728199,0.11181764520362245,0.36175140965212244,0.7140541845009494,0.6038467440981534,0.06301005045496845,0.509137863868686,0.6917389446341982,0.5464336235728199,0.11181764520362245,0.36175140965212244,0.7140541845009494,0.6849390581921095,0.04965031934415753,0.5492348128843398,0.7486878923350941,0.5628938090996074,0.07845873375740982,0.36379145276803637,0.6855719825666224,0.5464336235728199,0.11181764520362245,0.36175140965212244,0.7140541845009494,0.5464336235728199,0.11181764520362245,0.3617514096521224,0.7140541845009494,0.4924928856390619,0.09866638547407741,0.27479333941613904,0.6522944493795761,0.5464336235728199,0.11181764520362245,0.36175140965212244,0.7140541845009494,0.5238787907726106,0.1297267292380196,0.289146711630617,0.709547452649441,0.09042294134436947,0.05460473794410623,0.07698334439180862,0.3418620738803975,0.47861500683519675,84083,10,84083,32,1048.3433566599997,274.8851934260001,7.020176410675049,7.080288410186768,compiled,1323.8574435070004
8,20,20,0,0.0009509795896116975,0.5442377034167576,0.11292258712690117,0.3590054698563181,0.7207747211477229,0.6002230648548407,0.0642046451904226,0.4895701972793308,0.6959801663137775,0.5442377034167576,0.11292258712690117,0.3590054698563181,0.7207747211477229,0.684478338126435,0.04579043331240454,0.5871806562737957,0.7407233599769312,0.5644312890755494,0.07595138044566092,0.3725034067188445,0.6844108792010344,0.5442377034167576,0.11292258712690117,0.3590054698563181,0.7207747211477229,0.5442377034167576,0.11292258712690117,0.3590054698563181,0.7207747211477229,0.49278357482338003,0.09648646562451571,0.2893372699592866,0.6465703014509766,0.5442377034167576,0.11292258712690117,0.3590054698563181,0.7207747211477229,0.5221108491561047,0.13111818408731538,0.280432300115805,0.7156847549235335,0.07867193520954592,0.04944946982321543,0.07213366994416168,0.3236026121220461,0.4650524149150364,84083,12,84083,27,1048.838951100999,275.7379674109998,7.020219326019287,7.079267978668213,compiled,1325.1983196210003
9,20,20,0,0.0009363027585410778,0.5449216654464039,0.11122849015632394,0.3577209647531911,0.7214787224977403,0.6005044415388279,0.06060869198693875,0.517378001445741,0.6888377067936746,0.5449216654464039,0.11122849015632394,0.3577209647531911,0.7214787224977403,0.6821097542185528,0.05177690636839867,0.5338013804760064,0.7404921835448116,0.5631566154662643,0.07688995105847947,0.36736867822657476,0.6819238094279407,0.5449216654464039,0.11122849015632394,0.3577209647531911,0.7214787224977403,0.5449216654464039,0.11122849015632394,0.35772096475319115,0.7214787224977403,0.4921291303828609,0.09526176639364799,0.28928784788760264,0.6491379693972226,0.5449216654464039,0.11122849015632394,0.3577209647531911,0.7214787224977403,0.522583171054349,0.12911569508501178,0.27680729202410786,0.7134997113488717,0.06978421322620762,0.04556854176762592,0.0677780318643384,0.3108535557505744,0.451494839739797,84083,11,84083,29,1048.2852411010008,274.5064856019999,7.019712448120117,7.079442024230957,compiled,1323.471332348001
10,20,20,0,0.0009198536119214611,0.5412695515792034,0.11707837980656757,0.3499216594062656,0.7171475716367371,0.5962241815683541,0.0647191658130478,0.4900042760696218,0.6876184938452359,0.5412695515792034,0.11707837980656757,0.3499216594062656,0.7171475716367371,0.6794431354790442,0.05443426062384547,0.5220863431123786,0.7476701764183555,0.5637496906209754,0.07798928239134857,0.37077225095362054,0.6877975142350105,0.5412695515792034,0.11707837980656757,0.3499216594062656,0.7171475716367371,0.5412695515792036,0.11707837980656761,0.3499216594062655,0.7171475716367371,0.4900111392669827,0.09849991572125837,0.2849876335416348,0.6421229482566146,0.5412695515792034,0.11707837980656757,0.3499216594062656,0.7171475716367371,0.5188788087668098,0.13410855974460917,0.2822903707504729,0.7140890146429582,0.0631502735074093,0.042149236970284165,0.06399907235386615,0.2984051267064149,0.4379984920760882,84083,9,84083,27,1047.7406441349995,274.3395375990003,7.0197553634643555,7.0797319412231445,compiled,1322.8293988669993
11,20,20,0,0.0009016997428246386,0.5390569374101355,0.11284783275652097,0.35194715009083904,0.7108052405726683,0.5988964991023092,0.0627801824633569,0.4784001553138398,0.6909479024620964,0.5390569374101355,0.11284783275652097,0.35194715009083904,0.7108052405726683,0.6818575574780057,0.048981370809529315,0.5449832561596933,0.7411918286314054,0.5591040794250641,0.07875266032946544,0.36825201544723457,0.6833334004837168,0.5390569374101355,0.11284783275652097,0.35194715009083904,0.7108052405726683,0.5390569374101355,0.11284783275652098,0.35194715009083904,0.7108052405726683,0.48678277602180325,0.0988017603551109,0.26932737336362983,0.6440422375998686,0.5390569374101355,0.11284783275652097,0.35194715009083904,0.7108052405726683,0.5164597580614877,0.13061064214624646,0.273748711172631,0.7102319797728045,0.05744632287472486,0.03902706601134305,0.06115220263305925,0.28451491268406565,0.43014618045860964,84083,10,84083,23,1048.1130530770006,274.6748054079999,7.020176410675049,7.079824447631836,compiled,1323.461652631
12,20,20,0,0.0008819157493927215,0.538229856626631,0.1104113597581734,0.35083948165205775,0.7121673382216327,0.5948241473084368,0.060321591283568454,0.49957496572422844,0.6897725771164759,0.538229856626631,0.1104113597581734,0.35083948165205775,0.7121673382216327,0.6826249989214366,0.0432980306154135,0.5919447935687581,0.7420481622651779,0.5616297720656965,0.07896317923787863,0.36921536617080075,0.68039364262161,0.538229856626631,0.1104113597581734,0.35083948165205775,0.7121673382216327,0.538229856626631,0.11041135975817341,0.35083948165205775,0.7121673382216327,0.4870769929471813,0.09647566182715223,0.2903555149588705,0.633234366741293,0.538229856626631,0.1104113597581734,0.35083948165205775,0.7121673382216327,0.5160608548854164,0.1286747995980269,0.2736129732146416,0.7097492022198795,0.052735326828042516,0.03618893202429264,0.05827135268386141,0.27028799626711375,0.4248845803983465,84083,13,84083,23,1046.5704421289975,273.96772114000123,7.0197553634643555,7.079442024230957,compiled,1321.1505645050001
13,20,20,0,0.0008605829282983752,0.5366444504185026,0.1100120894337734,0.3601305153083588,0.7142603855299473,0.5976544300398129,0.05965474130943184,0.506675835502167,0.6836845329896805,0.5366444504185026,0.1100120894337734,0.3601305153083588,0.7142603855299473,0.6825431353209365,0.04387873231223986,0.576176653318395,0.7400852014237655,0.5619659592481997,0.07932296014268156,0.36701931725792436,0.6879575597163531,0.5366444504185026,0.1100120894337734,0.3601305153083588,0.7142603855299473,0.5366444504185026,0.11001208943377341,0.3601305153083588,0.7142603855299472,0.48832058853856913,0.09459885953762573,0.2859333732214111,0.6424180194805487,0.5366444504185026,0.1100120894337734,0.3601305153083588,0.7142603855299473,0.5148349186669905,0.12722425580042823,0.284276643999257,0.7109706274612277,0.0483358653979979,0.033921553727017786,0.055587123722485955,0.26016986979544704,0.41868625674704935,84083,7,84083,27,1046.9537791189978,274.34163433399954,7.020176410675049,7.080288410186768,compiled,1321.9517057799967
14,20,20,0,0.0008377889406793518,0.5354009810857251,0.11370494239242086,0.3438325495247201,0.7190847833769447,0.594386601892636,0.06253566139238696,0.4747954835536838,0.6868194788957332,0.5354009810857251,0.11370494239242086,0.3438325495247201,0.7190847833769447,0.6817674627835161,0.047895202275017604,0.5422534405343797,0.7423839927362232,0.5609827344032491,0.07939176311084184,0.36786619759690387,0.6843783699620792,0.5354009810857251,0.11370494239242086,0.3438325495247201,0.7190847833769447,0.5354009810857251,0.11370494239242086,0.3438325495247201,0.7190847833769447,0.4856235567216075,0.09764545731889719,0.27608922575700245,0.642916975905567,0.5354009810857251,0.11370494239242086,0.3438325495247201,0.7190847833769447,0.5131750906537808,0.13025997500207412,0.2862596536734217,0.7162536427284458,0.04463538076616503,0.03170393302106404,0.05327848868382105,0.2496453676127524,0.4161415946175291,84083,8,84083,28,1047.0772875460025,274.5444439799976,7.020219326019287,7.079267978668213,compiled,1322.278214629001
15,20,20,0,0.0008136274519200731,0.5344344892640258,0.11342844251345158,0.3447458184354871,0.7106910354962201,0.5942672615985899,0.0573320715013283,0.5020244522627019,0.6748589445215721,0.5344344892640258,0.11342844251345158,0.3447458184354871,0.7106910354962201,0.6793444677153418,0.04428590600999705,0.5717711107488919,0.7379245809806785,0.5605120796021053,0.07941190872100146,0.36810386510513804,0.6834293659578946,0.5344344892640258,0.11342844251345158,0.3447458184354871,0.7106910354962201,0.5344344892640259,0.11342844251345155,0.34474581843548713,0.7106910354962201,0.48549488977942146,0.09629582794791307,0.28900892329298433,0.6421656040966385,0.5344344892640258,0.11342844251345158,0.3447458184354871,0.7106910354962201,0.5126986393860368,0.13124776092799595,0.27819632283594753,0.7071147610180705,0.041559071236746015,0.029792726776548994,0.05118378329038485,0.24129965242808468,0.41386253441485604,84083,9,84083,23,1048.0583792469988,273.80211292999957,7.019712448120117,7.079442024230957,compiled,1322.6570020660001
16,20,20,0,0.000788197746760474,0.534096069607669,0.11178851501335303,0.34565527741286567,0.7121571164491272,0.5943668287066545,0.06390632523329566,0.48005291012304885,0.6928116058438748,0.534096069607669,0.11178851501335303,0.34565527741286567,0.7121571164491272,0.6817352926251357,0.045347225466518946,0.5648297017965567,0.747841250681007,0.5609013183182054,0.08018033564141691,0.36539341840509076,0.6836399776324793,0.534096069607669,0.11178851501335303,0.34565527741286567,0.7121571164491272,0.534096069607669,0.11178851501335303,0.3456552774128656,0.7121571164491273,0.48664771867088963,0.097644388972318,0.27446620408183586,0.6350569973277607,0.534096069607669,0.11178851501335303,0.34565527741286567,0.7121571164491272,0.5135720589510355,0.12932327316697936,0.286587491112039,0.7101624061351983,0.03882064443938488,0.027977399625181663,0.04929341409942457,0.23359146468627298,0.41540972912917473,84083,9,84083,24,1046.936163459999,274.33537424500173,7.0197553634643555,7.0797319412231445,compiled,1321.898193541001
17,20,20,0,0.00076160432131371,0.5344364314008019,0.11411166735099791,0.35054100589489623,0.7201714507194873,0.5932535734067755,0.0671825659989114,0.46554036351837425,0.6893968742807945,0.5344364314008019,0.11411166735099791,0.35054100589489623,0.7201714507194873,0.6773808884908767,0.050750236313672085,0.5476825671828274,0.7375852797856728,0.5622857166727042,0.07922239137830356,0.37285434044835236,0.6887937061267725,0.5344364314008019,0.11411166735099791,0.35054100589489623,0.7201714507194873,0.5344364314008019,0.11411166735099793,0.35054100589489623,0.7201714507194874,0.48631371933049544,0.09804977193478641,0.28304693609460785,0.6492716011750924,0.5344364314008019,0.11411166735099791,0.35054100589489623,0.7201714507194873,0.5127208647105517,0.13194700106938437,0.2747849941888597,0.7164908114599822,0.036054417801927224,0.026305573395038438,0.04741167004813441,0.22360897596416351,0.41699634202073516,84083,7,84083,27,1045.8389953309998,273.860468314997,7.020176410675049,7.079824447631836,compiled,1320.3516321419993
