benign,accelerationMultiplication,constantPositionOffset,constantSpeedOffset,dataReplay,dosAttack,feignedBraking,positionMirroring,randomPositionOffset,randomSpeedOffset,reversedHeading,suddenConstantSpeed,suddenStop,timeDelayAttack,trafficCongestionSybil,zeroSpeedReport
37312366,2230056,18950589,25195235,50240776,1334997,735162,28191927,3676678,15808422,6534599,4821633,7934185,30008081,1436671,4702223
570745,7626777,204037,424536,585524,158804,888767,337919,134695,2395176,172065,1163162,21252,351716,112659,601166
2862576,169835,17213629,1822262,3604464,146280,58622,3229690,9726829,1006665,478099,329355,678794,2240065,291805,388530
5406926,417384,2561899,6256045,7126315,270954,183342,4291640,1234409,4588471,2055961,1474802,891842,4278163,333044,1946503
5642813,314675,2717602,3674082,16156526,210299,127463,4182976,1796018,3189255,1067218,787804,1952584,4415456,481322,824907
4065673,1714440,4447746,2301186,6941062,111509197,768153,2674375,6665225,7196430,1870437,1256940,971578,2261398,852008,1913152
377601,942333,119777,263147,446927,96061,5319072,203183,83410,2662084,122519,599501,8522,212044,77872,326447
7055452,415628,4124332,4925335,9548371,237712,146608,5892114,990803,3107013,1338598,898335,1331212,5618401,308471,766515
293403,40213,3868716,369981,3164588,239224,32822,451536,35585570,515043,613070,509432,34596,164863,350226,794617
2169497,1800327,1041026,2132860,4604604,736866,3994823,1673441,715579,25616091,1252826,1964854,1790816,1836940,525102,2360648
1005318,310828,417139,1739639,1947086,173494,218053,1017147,4058493,2319998,11669388,670690,67853,756074,297490,331210
275141,561186,114594,320291,411479,38317,186450,216162,185221,993882,115706,1027900,45990,204198,39685,1039498
2094651,99457,977646,1336627,3652518,66265,16315,1507240,365633,1020895,269560,319421,6681935,1759738,131265,845334
7539247,449392,3784268,5116990,10266180,274279,152994,5624234,766095,3266747,1366953,972867,1852756,6237888,327122,1059388
14341998,3014019,7001503,9487954,26681579,7923326,2919211,8991029,15529145,17565574,9550952,1657894,5903658,9461536,90554380,8749742
438637,810568,149085,965431,1015835,114480,472359,379049,1191117,2987121,724564,3813389,332051,371922,184005,12686287
