idx,class,support,share,precision_mean,recall_mean,f1_mean,f1_std,f1_min,f1_max,precision_pooled,recall_pooled,f1_pooled
0,benign,2391136,0.22220,0.422181,0.156045,0.196527,0.129966,0.000000,0.498082,0.407999,0.156045,0.225749
1,accelerationMultiplication,157490,0.01463,0.459942,0.484271,0.375873,0.195662,0.000013,0.727058,0.364619,0.484271,0.416012
2,constantPositionOffset,442475,0.04112,0.432479,0.389031,0.289482,0.146582,0.000000,0.546693,0.254287,0.389031,0.307548
3,constantSpeedOffset,433177,0.04025,0.103471,0.144422,0.089292,0.058204,0.000000,0.253043,0.094315,0.144422,0.114110
4,dataReplay,475410,0.04418,0.170818,0.339844,0.160675,0.036001,0.000046,0.203099,0.110363,0.339844,0.166618
5,dosAttack,1574090,0.14627,0.916653,0.708404,0.734021,0.292740,0.000000,0.967774,0.902685,0.708404,0.793831
6,feignedBraking,118605,0.01102,0.424086,0.448469,0.329629,0.165384,0.000000,0.701050,0.327929,0.448469,0.378842
7,positionMirroring,467049,0.04340,0.091650,0.126156,0.078699,0.047746,0.000009,0.151730,0.085562,0.126156,0.101967
8,randomPositionOffset,470279,0.04370,0.571544,0.756691,0.559400,0.197632,0.000000,0.810206,0.430272,0.756691,0.548598
9,randomSpeedOffset,542163,0.05038,0.392217,0.472480,0.315004,0.149621,0.000000,0.539582,0.271821,0.472480,0.345102
10,reversedHeading,269999,0.02509,0.470820,0.432201,0.322281,0.153091,0.000022,0.546090,0.297669,0.432201,0.352537
11,suddenConstantSpeed,57757,0.00537,0.065819,0.177970,0.061857,0.044697,0.000000,0.227535,0.046160,0.177970,0.073307
12,suddenStop,211445,0.01965,0.329010,0.316013,0.220201,0.128938,0.000000,0.505350,0.219083,0.316013,0.258768
13,timeDelayAttack,490574,0.04559,0.088789,0.127155,0.074367,0.052891,0.000000,0.160583,0.088886,0.127155,0.104631
14,trafficCongestionSybil,2393335,0.22240,0.919712,0.378361,0.467393,0.322986,0.000000,0.900482,0.940306,0.378361,0.539598
15,zeroSpeedReport,266359,0.02475,0.519967,0.476285,0.365029,0.183070,0.000000,0.690143,0.322509,0.476285,0.384596
