cid,accuracy,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted
0,0.433970,0.420852,0.433970,0.566830,0.338491,0.433970,0.433970,0.306488,0.433970,0.449035
1,0.333773,0.379125,0.333773,0.547072,0.314806,0.333773,0.333773,0.257343,0.333773,0.346329
2,0.315205,0.444428,0.315205,0.576342,0.400950,0.315205,0.315205,0.330378,0.315205,0.307483
3,0.360479,0.409030,0.360479,0.571455,0.386754,0.360479,0.360479,0.299725,0.360479,0.341920
4,0.239568,0.331822,0.239568,0.509924,0.276039,0.239568,0.239568,0.170785,0.239568,0.234868
5,0.334230,0.412126,0.334230,0.552631,0.409732,0.334230,0.334230,0.305099,0.334230,0.295772
6,0.307678,0.365198,0.307678,0.525164,0.367933,0.307678,0.307678,0.244291,0.307678,0.279419
7,0.324910,0.396472,0.324910,0.573715,0.415408,0.324910,0.324910,0.316951,0.324910,0.308979
8,0.421359,0.433830,0.421359,0.582452,0.377139,0.421359,0.421359,0.300836,0.421359,0.421843
9,0.459215,0.398544,0.459215,0.558792,0.331873,0.459215,0.459215,0.278339,0.459215,0.451076
10,0.377411,0.398335,0.377411,0.558945,0.309283,0.377411,0.377411,0.284054,0.377411,0.398259
11,0.339958,0.393108,0.339958,0.555448,0.357563,0.339958,0.339958,0.287940,0.339958,0.334926
12,0.304777,0.400323,0.304777,0.553692,0.327315,0.304777,0.304777,0.284585,0.304777,0.311211
13,0.337375,0.432588,0.337375,0.570293,0.367150,0.337375,0.337375,0.278522,0.337375,0.324637
14,0.192296,0.289665,0.192296,0.300553,0.235573,0.192296,0.192296,0.142399,0.192296,0.147020
15,0.404721,0.413486,0.404721,0.565601,0.332694,0.404721,0.404721,0.264708,0.404721,0.394809
16,0.487296,0.446261,0.487296,0.590275,0.368032,0.487296,0.487296,0.352036,0.487296,0.505858
17,0.304544,0.395552,0.304544,0.540795,0.333762,0.304544,0.304544,0.249521,0.304544,0.254332
18,0.476507,0.366011,0.476507,0.546595,0.350370,0.476507,0.476507,0.279299,0.476507,0.476408
19,0.450832,0.451334,0.450832,0.607897,0.402586,0.450832,0.450832,0.343757,0.450832,0.441679
20,0.472484,0.414790,0.472484,0.578198,0.426174,0.472484,0.472484,0.353833,0.472484,0.441697
21,0.459325,0.395359,0.459325,0.554956,0.322120,0.459325,0.459325,0.273424,0.459325,0.458806
22,0.345607,0.428246,0.345607,0.586176,0.364194,0.345607,0.345607,0.270361,0.345607,0.330127
23,0.416351,0.412588,0.416351,0.562712,0.372934,0.416351,0.416351,0.294177,0.416351,0.364460
24,0.341497,0.387153,0.341497,0.549529,0.412605,0.341497,0.341497,0.296270,0.341497,0.314902
25,0.239227,0.343228,0.239227,0.535105,0.388723,0.239227,0.239227,0.242471,0.239227,0.199785
26,0.371699,0.358407,0.371699,0.529432,0.373131,0.371699,0.371699,0.300811,0.371699,0.372377
27,0.431515,0.408055,0.431515,0.572626,0.381665,0.431515,0.431515,0.319369,0.431515,0.424541
28,0.310106,0.386015,0.310106,0.580359,0.425474,0.310106,0.310106,0.285703,0.310106,0.264095
29,0.235150,0.377542,0.235150,0.543055,0.361699,0.235150,0.235150,0.231474,0.235150,0.199403
30,0.376878,0.325108,0.376878,0.418848,0.433968,0.376878,0.376878,0.325148,0.376878,0.354246
31,0.388783,0.409108,0.388783,0.585000,0.443988,0.388783,0.388783,0.346294,0.388783,0.407980
32,0.449101,0.432529,0.449101,0.598083,0.340147,0.449101,0.449101,0.267943,0.449101,0.432873
33,0.237419,0.346168,0.237419,0.526323,0.322760,0.237419,0.237419,0.212481,0.237419,0.197174
34,0.324328,0.357246,0.324328,0.522380,0.333979,0.324328,0.324328,0.248679,0.324328,0.275790
35,0.508145,0.403272,0.508145,0.587610,0.388346,0.508145,0.508145,0.311868,0.508145,0.506968
36,0.366586,0.422952,0.366586,0.592528,0.362215,0.366586,0.366586,0.281752,0.366586,0.347626
37,0.361449,0.367929,0.361449,0.572641,0.367575,0.361449,0.361449,0.253903,0.361449,0.342560
38,0.471834,0.425915,0.471834,0.581544,0.403095,0.471834,0.471834,0.347639,0.471834,0.484614
39,0.397022,0.414454,0.397022,0.601561,0.386459,0.397022,0.397022,0.280331,0.397022,0.385029
40,0.489991,0.444612,0.489991,0.592107,0.420449,0.489991,0.489991,0.377653,0.489991,0.502960
41,0.365412,0.413395,0.365412,0.587141,0.346549,0.365412,0.365412,0.294686,0.365412,0.373091
42,0.200464,0.264087,0.200464,0.456624,0.389090,0.200464,0.200464,0.191615,0.200464,0.142769
43,0.424278,0.422036,0.424278,0.584536,0.439609,0.424278,0.424278,0.355409,0.424278,0.427240
44,0.496709,0.461767,0.496709,0.596060,0.366338,0.496709,0.496709,0.338415,0.496709,0.501333
45,0.407849,0.362832,0.407849,0.569181,0.367857,0.407849,0.407849,0.286965,0.407849,0.409996
46,0.421788,0.433912,0.421788,0.590177,0.344502,0.421788,0.421788,0.308203,0.421788,0.443197
47,0.322512,0.410810,0.322512,0.561737,0.399292,0.322512,0.322512,0.311898,0.322512,0.313825
48,0.229126,0.349849,0.229126,0.538675,0.383377,0.229126,0.229126,0.227493,0.229126,0.189536
49,0.226843,0.404598,0.226843,0.568992,0.278360,0.226843,0.226843,0.216723,0.226843,0.256070
50,0.414965,0.388191,0.414965,0.537975,0.331204,0.414965,0.414965,0.294381,0.414965,0.433208
51,0.445860,0.424549,0.445860,0.596875,0.456286,0.445860,0.445860,0.361041,0.445860,0.441227
52,0.277537,0.306450,0.277537,0.474349,0.280769,0.277537,0.277537,0.195763,0.277537,0.239816
53,0.370434,0.393692,0.370434,0.540791,0.365482,0.370434,0.370434,0.289943,0.370434,0.329900
54,0.217639,0.338162,0.217639,0.512613,0.341286,0.217639,0.217639,0.203291,0.217639,0.187746
55,0.299622,0.414898,0.299622,0.553216,0.308453,0.299622,0.299622,0.257858,0.299622,0.263716
56,0.347954,0.378661,0.347954,0.469892,0.421138,0.347954,0.347954,0.297786,0.347954,0.306280
57,0.480737,0.478373,0.480737,0.627225,0.461167,0.480737,0.480737,0.385478,0.480737,0.459921
58,0.401458,0.427149,0.401458,0.596315,0.373534,0.401458,0.401458,0.309025,0.401458,0.412656
59,0.332991,0.384365,0.332991,0.459876,0.369491,0.332991,0.332991,0.284296,0.332991,0.287282
60,0.322724,0.439788,0.322724,0.589075,0.398548,0.322724,0.322724,0.336075,0.322724,0.342578
61,0.432792,0.461570,0.432792,0.595432,0.406881,0.432792,0.432792,0.366742,0.432792,0.450732
62,0.344876,0.422517,0.344876,0.570328,0.408106,0.344876,0.344876,0.303515,0.344876,0.316182
63,0.401099,0.393160,0.401099,0.566882,0.406268,0.401099,0.401099,0.309402,0.401099,0.388362
64,0.431210,0.443478,0.431210,0.596839,0.366683,0.431210,0.431210,0.335554,0.431210,0.442179
65,0.378507,0.467952,0.378507,0.575975,0.375218,0.378507,0.378507,0.317785,0.378507,0.384932
66,0.424062,0.417959,0.424062,0.582738,0.400752,0.424062,0.424062,0.304655,0.424062,0.421558
67,0.448319,0.324778,0.448319,0.537407,0.452859,0.448319,0.448319,0.320028,0.448319,0.419019
68,0.421756,0.412359,0.421756,0.578704,0.390190,0.421756,0.421756,0.321646,0.421756,0.430021
69,0.150297,0.330572,0.150297,0.516231,0.256369,0.150297,0.150297,0.153207,0.150297,0.102973
70,0.281487,0.342706,0.281487,0.387887,0.314136,0.281487,0.281487,0.212812,0.281487,0.219159
71,0.416374,0.395483,0.416374,0.581821,0.398731,0.416374,0.416374,0.345256,0.416374,0.420391
72,0.291923,0.310239,0.291923,0.502674,0.289262,0.291923,0.291923,0.214150,0.291923,0.268639
73,0.377481,0.393520,0.377481,0.564450,0.466840,0.377481,0.377481,0.345708,0.377481,0.339850
74,0.400692,0.417539,0.400692,0.574040,0.417078,0.400692,0.400692,0.337032,0.400692,0.398388
75,0.458558,0.392438,0.458558,0.586037,0.433920,0.458558,0.458558,0.299178,0.458558,0.433424
76,0.349069,0.414833,0.349069,0.589667,0.398774,0.349069,0.349069,0.326200,0.349069,0.373440
77,0.466519,0.467798,0.466519,0.614263,0.396002,0.466519,0.466519,0.341361,0.466519,0.445426
78,0.414882,0.432029,0.414882,0.561789,0.376896,0.414882,0.414882,0.333653,0.414882,0.394369
79,0.270776,0.364433,0.270776,0.555482,0.418003,0.270776,0.270776,0.259563,0.270776,0.225132
80,0.500931,0.468296,0.500931,0.612432,0.364443,0.500931,0.500931,0.319465,0.500931,0.497278
81,0.359547,0.431304,0.359547,0.565623,0.355873,0.359547,0.359547,0.300473,0.359547,0.343053
82,0.361217,0.331499,0.361217,0.529726,0.276501,0.361217,0.361217,0.221072,0.361217,0.364973
83,0.452276,0.404993,0.452276,0.587889,0.351907,0.452276,0.452276,0.251084,0.452276,0.409935
84,0.395657,0.423049,0.395657,0.571620,0.363720,0.395657,0.395657,0.295728,0.395657,0.395670
85,0.386464,0.436664,0.386464,0.607695,0.381451,0.386464,0.386464,0.312439,0.386464,0.382297
86,0.421278,0.432753,0.421278,0.567990,0.296648,0.421278,0.421278,0.279798,0.421278,0.434533
87,0.374981,0.463138,0.374981,0.592101,0.381563,0.374981,0.374981,0.314999,0.374981,0.398941
88,0.351707,0.369176,0.351707,0.526946,0.316197,0.351707,0.351707,0.242446,0.351707,0.330798
89,0.330337,0.380016,0.330337,0.560538,0.324811,0.330337,0.330337,0.271538,0.330337,0.355610
90,0.440106,0.423429,0.440106,0.578513,0.386162,0.440106,0.440106,0.332179,0.440106,0.442984
91,0.378614,0.396152,0.378614,0.557066,0.445598,0.378614,0.378614,0.351544,0.378614,0.338637
92,0.223214,0.390026,0.223214,0.571267,0.361783,0.223214,0.223214,0.255531,0.223214,0.221783
93,0.324124,0.428704,0.324124,0.591581,0.440694,0.324124,0.324124,0.299298,0.324124,0.265395
94,0.297744,0.352101,0.297744,0.500698,0.315405,0.297744,0.297744,0.234187,0.297744,0.216277
95,0.395996,0.372619,0.395996,0.557034,0.423611,0.395996,0.395996,0.327691,0.395996,0.358429
96,0.460968,0.403976,0.460968,0.578277,0.357874,0.460968,0.460968,0.303196,0.460968,0.458914
97,0.342687,0.356265,0.342687,0.556427,0.378881,0.342687,0.342687,0.269257,0.342687,0.321239
98,0.271880,0.410694,0.271880,0.573177,0.314872,0.271880,0.271880,0.244934,0.271880,0.257375
99,0.485470,0.453197,0.485470,0.597711,0.417780,0.485470,0.485470,0.379004,0.485470,0.497840
