idx,class,support,share,precision_mean,recall_mean,f1_mean,f1_std,f1_min,f1_max,precision_pooled,recall_pooled,f1_pooled
0,benign,2391136,0.22220,0.482913,0.189288,0.224636,0.155531,0.000112,0.562074,0.455571,0.189288,0.267451
1,accelerationMultiplication,157490,0.01463,0.628384,0.575779,0.496957,0.262377,0.000000,0.879241,0.460895,0.575779,0.511971
2,constantPositionOffset,442475,0.04112,0.529123,0.471570,0.330890,0.158043,0.004536,0.593551,0.280563,0.471570,0.351813
3,constantSpeedOffset,433177,0.04025,0.194719,0.253547,0.170570,0.121909,0.000000,0.545113,0.170031,0.253547,0.203555
4,dataReplay,475410,0.04418,0.232981,0.388303,0.187882,0.055250,0.000000,0.262397,0.127862,0.388303,0.192378
5,dosAttack,1574090,0.14627,0.941507,0.783751,0.805567,0.247503,0.073800,0.978451,0.925072,0.783751,0.848568
6,feignedBraking,118605,0.01102,0.597593,0.585854,0.495827,0.236064,0.002557,0.803684,0.511074,0.585854,0.545915
7,positionMirroring,467049,0.04340,0.103487,0.147862,0.089756,0.054563,0.000000,0.180976,0.099625,0.147862,0.119043
8,randomPositionOffset,470279,0.04370,0.629359,0.814714,0.635329,0.141083,0.174432,0.860292,0.498403,0.814714,0.618461
9,randomSpeedOffset,542163,0.05038,0.515007,0.628002,0.472729,0.185408,0.000000,0.692946,0.405894,0.628002,0.493091
10,reversedHeading,269999,0.02509,0.632857,0.493758,0.390847,0.213871,0.000652,0.731274,0.395521,0.493758,0.439213
11,suddenConstantSpeed,57757,0.00537,0.142299,0.285836,0.127046,0.071568,0.000000,0.321131,0.098989,0.285836,0.147052
12,suddenStop,211445,0.01965,0.469396,0.403597,0.325156,0.167490,0.000000,0.681115,0.332323,0.403597,0.364508
13,timeDelayAttack,490574,0.04559,0.101024,0.153062,0.085491,0.059847,0.000581,0.185534,0.098953,0.153062,0.120199
14,trafficCongestionSybil,2393335,0.22240,0.952142,0.445417,0.540033,0.317729,0.000014,0.924605,0.961777,0.445417,0.608860
15,zeroSpeedReport,266359,0.02475,0.658481,0.548577,0.464857,0.209396,0.001471,0.775369,0.430437,0.548577,0.482378
