cid,accuracy,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted
0,0.778786,0.801910,0.778786,0.819740,0.724731,0.778786,0.778786,0.719315,0.778786,0.775484
1,0.485720,0.634355,0.485720,0.712641,0.658277,0.485720,0.485720,0.525681,0.485720,0.449317
2,0.759331,0.812883,0.759331,0.792610,0.684926,0.759331,0.759331,0.700044,0.759331,0.747801
3,0.708893,0.780158,0.708893,0.797508,0.749603,0.708893,0.708893,0.709237,0.708893,0.710985
4,0.741519,0.793732,0.741519,0.829830,0.755130,0.741519,0.741519,0.708249,0.741519,0.748163
5,0.822229,0.816539,0.822229,0.810188,0.760834,0.822229,0.822229,0.775596,0.822229,0.808739
6,0.828722,0.823146,0.828722,0.820443,0.784131,0.828722,0.828722,0.792371,0.828722,0.817883
7,0.731089,0.828032,0.731089,0.826511,0.762552,0.731089,0.731089,0.768432,0.731089,0.748509
8,0.821119,0.854697,0.821119,0.839300,0.781864,0.821119,0.821119,0.790618,0.821119,0.811595
9,0.503954,0.752737,0.503954,0.753733,0.683952,0.503954,0.503954,0.633489,0.503954,0.488497
10,0.710943,0.812926,0.710943,0.821286,0.785520,0.710943,0.710943,0.755102,0.710943,0.688495
11,0.711756,0.767797,0.711756,0.772697,0.712237,0.711756,0.711756,0.700218,0.711756,0.701431
12,0.520477,0.802464,0.520477,0.764499,0.616128,0.520477,0.520477,0.594511,0.520477,0.504698
13,0.699651,0.828170,0.699651,0.826631,0.763734,0.699651,0.699651,0.736328,0.699651,0.682845
14,0.642829,0.806019,0.642829,0.837742,0.693455,0.642829,0.642829,0.648209,0.642829,0.627775
15,0.533713,0.716078,0.533713,0.764474,0.720450,0.533713,0.533713,0.610664,0.533713,0.509196
16,0.517543,0.702133,0.517543,0.749433,0.726744,0.517543,0.517543,0.616956,0.517543,0.484559
17,0.715183,0.815429,0.715183,0.819656,0.797884,0.715183,0.715183,0.769076,0.715183,0.694727
18,0.677450,0.738187,0.677450,0.781718,0.752100,0.677450,0.677450,0.682225,0.677450,0.644958
19,0.699056,0.796831,0.699056,0.792165,0.707850,0.699056,0.699056,0.689132,0.699056,0.702514
