round,evaluated,lr,accuracy,accuracy_std,accuracy_min,accuracy_max,precision_macro,precision_macro_std,precision_macro_min,precision_macro_max,precision_micro,precision_micro_std,precision_micro_min,precision_micro_max,precision_weighted,precision_weighted_std,precision_weighted_min,precision_weighted_max,recall_macro,recall_macro_std,recall_macro_min,recall_macro_max,recall_micro,recall_micro_std,recall_micro_min,recall_micro_max,recall_weighted,recall_weighted_std,recall_weighted_min,recall_weighted_max,f1_macro,f1_macro_std,f1_macro_min,f1_macro_max,f1_micro,f1_micro_std,f1_micro_min,f1_micro_max,f1_weighted,f1_weighted_std,f1_weighted_min,f1_weighted_max,global_accuracy,global_precision_macro,global_precision_micro,global_precision_weighted,global_recall_macro,global_recall_micro,global_recall_weighted,global_f1_macro,global_f1_micro,global_f1_weighted,loss_s_client_mean,loss_r_client_mean,ce_s_client_mean,ce_r_client_mean,kl_s_client_mean,kl_r_client_mean,gnorm_s_client_mean,gnorm_r_client_mean,steps,skipped,train_sec,eval_sec,vram_train_gb,vram_eval_gb,backend,seconds
1,100,0.001,0.4686816180842856,0.09803085997216535,0.1907040784779372,0.6407519024344824,0.48757245865395565,0.06296220013600631,0.2760563143810413,0.6124058090454106,0.4686816180842856,0.09803085997216535,0.1907040784779372,0.6407519024344824,0.6145091718439323,0.060186770177317425,0.3031630578367932,0.6981950678546831,0.4294104922490135,0.058065026263988545,0.26553626589610824,0.5421551490406279,0.4686816180842856,0.09803085997216535,0.1907040784779372,0.6407519024344824,0.4686816180842856,0.09803085997216535,0.1907040784779372,0.6407519024344823,0.3654061468428785,0.06514373358015439,0.16522808181521648,0.48349407921464865,0.4686816180842856,0.09803085997216535,0.1907040784779372,0.6407519024344824,0.4542334410145852,0.10518793473748518,0.14809730971991958,0.628014905453056,0.4950200918231117,0.4594229405936728,0.4950200918231117,0.5943568840492716,0.2930361248806399,0.4950200918231117,0.4950200918231117,0.26494662677484315,0.4950200918231117,0.4647462469014637,0.3515200223820743,0.3515523618787226,0.22672584408184593,0.226795494714919,0.049116837676350375,0.049106660565397225,1.3097771623667018,1.308676105790212,168200,18,1047.360910428,1361.5110570819998,7.04467248916626,7.335452079772949,compiled,2411.470441998
2,100,0.0009989829694114164,0.478898261118524,0.09875874284224459,0.20267423870793821,0.6598181100630284,0.5101908416572138,0.06420597597933815,0.2949761139990328,0.6717510472701609,0.478898261118524,0.09875874284224459,0.20267423870793821,0.6598181100630284,0.6284436835560502,0.05891622142434036,0.3172783465882213,0.7235197841624976,0.4505433271278145,0.05680792893945743,0.2795285476899406,0.5585379695593145,0.478898261118524,0.09875874284224459,0.20267423870793821,0.6598181100630284,0.478898261118524,0.09875874284224459,0.20267423870793824,0.6598181100630285,0.3850324039134934,0.06568805909861927,0.19352516379036233,0.4964788635614583,0.478898261118524,0.09875874284224459,0.20267423870793821,0.6598181100630284,0.4653436419586422,0.10556024933167756,0.1611773054328818,0.6337252627596749,0.7625096607365828,0.6988869228919982,0.7625096607365828,0.7394484183325813,0.6120365570496998,0.7625096607365828,0.7625096607365828,0.6277942817737543,0.7625096607365828,0.7362599925759741,0.27752898396709713,0.2949204875487826,0.1337735334815257,0.15586427167574948,0.047808486304291076,0.04346533521031575,1.0424991388675213,1.3040616077319405,168200,34,991.7520479079999,1360.1035700769999,7.1849141120910645,7.315610885620117,compiled,2354.9600297099996
3,100,0.0009959360568425068,0.48506032564894547,0.09703819282451172,0.22499468700142725,0.6555321208514587,0.5288620572095702,0.05898251690237493,0.38268749220250614,0.662361565088911,0.48506032564894547,0.09703819282451172,0.22499468700142725,0.6555321208514587,0.6368922053585269,0.055668908628577846,0.34984694016529294,0.8020266426794379,0.46336191308496955,0.0575781472122385,0.2961051067661947,0.5825180557512453,0.48506032564894547,0.09703819282451172,0.22499468700142725,0.6555321208514587,0.4850603256489454,0.09703819282451173,0.22499468700142722,0.6555321208514588,0.39793732653938513,0.06652746095791837,0.20128070406293488,0.5207222778431445,0.48506032564894547,0.09703819282451172,0.22499468700142725,0.6555321208514587,0.4710347698120431,0.10409294801089522,0.187564218936001,0.6454112332148929,0.7454881793099616,0.714686882305705,0.7454881793099616,0.7517081890188775,0.6821250820121756,0.7454881793099616,0.7454881793099616,0.6880294707153886,0.7454881793099616,0.7423294658263087,0.2479678399560872,0.26080613118908547,0.11117673698338132,0.1278455058032198,0.03628450478808697,0.033684768803750625,0.9949421718429494,1.1838950905410555,168200,50,925.0907752330004,1359.1655892169993,7.0604071617126465,7.315367221832275,compiled,2287.114433562
4,100,0.0009908717827105773,0.48640312366216754,0.09906073765455621,0.21190245492593257,0.6664359643587237,0.5417046602600429,0.06326756707103555,0.3657665672128246,0.7068797484113069,0.48640312366216754,0.09906073765455621,0.21190245492593257,0.6664359643587237,0.6411989727400793,0.05442605952335032,0.3558782678362459,0.7500305434693136,0.47200117524015184,0.05787711746562576,0.30068177085569614,0.5790038773930473,0.48640312366216754,0.09906073765455621,0.21190245492593257,0.6664359643587237,0.48640312366216754,0.09906073765455622,0.21190245492593257,0.6664359643587237,0.40706326837496604,0.06745643753119546,0.2113674380089328,0.5189293767790077,0.48640312366216754,0.09906073765455621,0.21190245492593257,0.6664359643587237,0.472926391456593,0.10616389442674028,0.17240628530482371,0.645256748573702,0.7342136571615643,0.7216436631811722,0.7342136571615643,0.7560301120974466,0.7047987855577176,0.7342136571615643,0.7342136571615643,0.704318713185891,0.7342136571615643,0.7378321923173357,0.23034698022401653,0.24120611745269538,0.0986475513180154,0.11309457237772007,0.03105298467458319,0.028749750778195495,0.9440851251722846,1.1036226384372594,168200,70,939.202496801,1360.0104152880012,7.061078071594238,7.315610885620117,compiled,2302.560263593
5,100,0.0009838109572043196,0.4889342250312066,0.09834293306212476,0.23487672495895726,0.6643391071170206,0.5485306082365529,0.062273968697148005,0.3561631876257657,0.7070179549747644,0.4889342250312066,0.09834293306212476,0.23487672495895726,0.6643391071170206,0.6431414879460803,0.05746023921463816,0.332491945728579,0.7284247473427672,0.4792072138312074,0.0580303187089888,0.30546354195509906,0.586026652230603,0.4889342250312066,0.09834293306212476,0.23487672495895726,0.6643391071170206,0.4889342250312066,0.09834293306212474,0.23487672495895726,0.6643391071170206,0.4145453698306988,0.06786469104150256,0.22076642555079917,0.5346213624673167,0.4889342250312066,0.09834293306212476,0.23487672495895726,0.6643391071170206,0.4762787780183891,0.10567501813105401,0.17932281032496553,0.6488166844647636,0.7301390727904501,0.7252260190479967,0.7301390727904501,0.7591596245880761,0.7146794482749261,0.7301390727904501,0.73013907279045,0.709833286255969,0.7301390727904501,0.7351116391648398,0.21839389314300114,0.22802713696567864,0.09048967214493196,0.10360760316930398,0.027846200904137353,0.025664393966214602,0.8935191229093975,1.0462781784243815,168200,70,1096.1621125540005,1359.668661280999,7.061388969421387,7.315610885620117,compiled,2459.1414472060005
6,100,0.000974782594770281,0.4934258790933436,0.09522000728537561,0.2343738137516851,0.6661570028945272,0.5544261260088412,0.06393208794191241,0.36319414696188673,0.6811671939616124,0.4934258790933436,0.09522000728537561,0.2343738137516851,0.6661570028945272,0.6466902230968438,0.05766859156660813,0.34082122117649183,0.7501894099335371,0.4872387157840443,0.056290764246788486,0.3239425176176344,0.601269094158688,0.4934258790933436,0.09522000728537561,0.2343738137516851,0.6661570028945272,0.4934258790933436,0.0952200072853756,0.2343738137516851,0.6661570028945272,0.422603094167685,0.06678429571176192,0.2338078466911428,0.5330667931119469,0.4934258790933436,0.09522000728537561,0.2343738137516851,0.6661570028945272,0.4807707878272353,0.10226044478514665,0.18744490341929193,0.6475495305851733,0.7279711277672313,0.7268376309753226,0.7279711277672313,0.760388161281934,0.7208493392002385,0.7279711277672313,0.7279711277672313,0.7139279665906031,0.7279711277672313,0.7333895787484497,0.2092169600034274,0.2180594249140733,0.08458075775634534,0.09687380261080673,0.02564053791418227,0.023467325246277614,0.8443738993731746,0.999402836663053,168200,67,1049.6958473539999,1359.5109693550003,7.0604071617126465,7.315367221832275,compiled,2412.479450762001
7,100,0.0009638237948862808,0.49333160368552514,0.09611319779533953,0.2269463950735517,0.6740431003825452,0.5606624954193364,0.06441447051789449,0.3617055851815708,0.6885590613129857,0.49333160368552514,0.09611319779533953,0.2269463950735517,0.6740431003825452,0.6477557777620748,0.05734919250276587,0.3400182114374771,0.73542632010331,0.49167864424711527,0.05561879207939144,0.3273272598075203,0.5908098130662071,0.49333160368552514,0.09611319779533953,0.2269463950735517,0.6740431003825452,0.49333160368552514,0.09611319779533953,0.2269463950735517,0.6740431003825451,0.4268638395090079,0.06657672594280648,0.23470834548517905,0.5447741371059154,0.49333160368552514,0.09611319779533953,0.2269463950735517,0.6740431003825452,0.48034737990822796,0.10377682848694032,0.19484196304435888,0.6530173622919502,0.7275102187524364,0.7317786239121051,0.7275102187524364,0.7629407076282644,0.7218910028999457,0.7275102187524364,0.7275102187524364,0.715703024425127,0.7275102187524364,0.7330731474391217,0.2017770897386486,0.2100351312594858,0.08007175036271097,0.091743018599953,0.023896931774646676,0.02176650537537371,0.7966139954628098,0.9556194260580289,168200,61,1076.9599468959987,1359.6433313950001,7.061078071594238,7.315610885620117,compiled,2439.744418018001
8,100,0.0009509795896116975,0.49531062154602823,0.09705821711977776,0.22850772436116942,0.6717747032131585,0.564509753003217,0.06369892769695118,0.39489460326477577,0.6961262143908987,0.49531062154602823,0.09705821711977776,0.22850772436116942,0.6717747032131585,0.650499044343301,0.05241337558153623,0.3597718542253586,0.7257442458459528,0.4949144046562268,0.05794885014436199,0.32426942888747157,0.6000939431016445,0.49531062154602823,0.09705821711977776,0.22850772436116942,0.6717747032131585,0.49531062154602823,0.09705821711977777,0.22850772436116945,0.6717747032131585,0.4296674330088466,0.07004262467430941,0.23306169297681817,0.5547957201931957,0.49531062154602823,0.09705821711977776,0.22850772436116942,0.6717747032131585,0.48255235240437905,0.10440681082891236,0.19477538682847817,0.6553825631473537,0.7247470877937818,0.7289462526618408,0.7247470877937818,0.7617017253468072,0.7273448683552817,0.7247470877937818,0.7247470877937818,0.7166538526425352,0.7247470877937818,0.7290734991532986,0.19572341094861023,0.203555635108935,0.07645638248443018,0.0877495925982419,0.022644850089493143,0.0204759046669666,0.7550724548768767,0.9189484104828938,168200,67,1074.4571683290014,1359.9663557989988,7.061388969421387,7.315610885620117,compiled,2437.863531080002
9,100,0.0009363027585410778,0.4973760858658627,0.09547329650584738,0.22860092834137896,0.6820296500167312,0.5709509792695855,0.06304640536522789,0.36646349483213747,0.7205012306543253,0.4973760858658627,0.09547329650584738,0.22860092834137896,0.6820296500167312,0.6529071293779815,0.056682078267748605,0.3445679981468722,0.7847640344222684,0.4989890411566046,0.05641860311840785,0.3352498572908129,0.5976959456880885,0.4973760858658627,0.09547329650584738,0.22860092834137896,0.6820296500167312,0.4973760858658627,0.09547329650584738,0.22860092834137896,0.6820296500167312,0.434495997428532,0.06798243522164042,0.23921351752615694,0.5603282462551032,0.4973760858658627,0.09547329650584738,0.22860092834137896,0.6820296500167312,0.4848712253784283,0.10298532713640796,0.1963819796629398,0.6655113531717594,0.7192211975772912,0.730167208053361,0.7192211975772912,0.7618553318245292,0.7293735814813073,0.7192211975772912,0.7192211975772913,0.7176938117842724,0.7192211975772912,0.7237662274950012,0.19055260960368062,0.19803308993394073,0.0735013841673915,0.08448366036314439,0.021588539246556883,0.019418856352758335,0.7185985977923143,0.8864098424390864,168200,55,1212.1209860179988,1359.991473225,7.0604071617126465,7.315367221832275,compiled,2575.465711719
10,100,0.0009198536119214611,0.5002283664780502,0.09453811900512618,0.23467554189100748,0.6673202406056568,0.5740213511737524,0.062277284962503954,0.37283448349293613,0.7066325160175737,0.5002283664780502,0.09453811900512618,0.23467554189100748,0.6673202406056568,0.6533565355781537,0.0569389204466582,0.34461201544089665,0.7344350756806394,0.5039924290560869,0.0560658846880188,0.3298150799298181,0.6033159674821293,0.5002283664780502,0.09453811900512618,0.23467554189100748,0.6673202406056568,0.5002283664780502,0.09453811900512618,0.23467554189100748,0.6673202406056566,0.43998142558439185,0.0688963800446025,0.2346182623052051,0.576410215517374,0.5002283664780502,0.09453811900512618,0.23467554189100748,0.6673202406056568,0.487841010825011,0.10293178344966858,0.1978853399521256,0.6563304799250409,0.7219731775113942,0.7326248343113743,0.7219731775113942,0.7632690539480491,0.7316601378364893,0.7219731775113942,0.7219731775113942,0.7204475690266567,0.7219731775113942,0.726607082292081,0.18594650121656145,0.1931664625768029,0.07097991632214821,0.08171069276035263,0.020647934071621736,0.018495370958313488,0.6848122624822638,0.8581383527125801,168200,62,1109.1775684720014,1359.9611576380012,7.061078071594238,7.315610885620117,compiled,2472.4369647519998
