idx,class,support,share,precision_mean,recall_mean,f1_mean,f1_std,f1_min,f1_max,precision_pooled,recall_pooled,f1_pooled,precision_proxy,recall_proxy,f1_proxy
0,benign,2391136,0.22220,0.633693,0.381572,0.396200,0.254973,0.000109,0.728133,0.614150,0.381572,0.470698,0.709837,0.410236,0.519968
1,accelerationMultiplication,157490,0.01463,0.971420,0.951553,0.959578,0.032952,0.854378,0.980747,0.968004,0.951553,0.959708,0.982720,0.975706,0.979201
2,constantPositionOffset,442475,0.04112,0.752721,0.803670,0.724920,0.169350,0.302972,0.855961,0.531058,0.803670,0.639524,0.804346,0.903613,0.851095
3,constantSpeedOffset,433177,0.04025,0.867289,0.763672,0.767401,0.165615,0.403909,0.929923,0.820540,0.763672,0.791086,0.918587,0.949499,0.933787
4,dataReplay,475410,0.04418,0.588596,0.607978,0.502956,0.133674,0.304035,0.699090,0.368782,0.607978,0.459092,0.627254,0.779761,0.695242
5,dosAttack,1574090,0.14627,0.988355,0.982375,0.984939,0.016938,0.924257,0.995537,0.987832,0.982375,0.985096,0.979737,0.994827,0.987224
6,feignedBraking,118605,0.01102,0.947434,0.956568,0.949738,0.035984,0.853008,0.975583,0.939467,0.956568,0.947941,0.956645,0.973736,0.965115
7,positionMirroring,467049,0.04340,0.557784,0.287327,0.155672,0.138973,0.000013,0.371005,0.186819,0.287327,0.226421,0.515551,0.435901,0.472392
8,randomPositionOffset,470279,0.04370,0.889837,0.958680,0.917035,0.067157,0.769659,0.976625,0.868564,0.958680,0.911400,0.986884,0.974715,0.980762
9,randomSpeedOffset,542163,0.05038,0.873622,0.942352,0.895310,0.092592,0.620567,0.972722,0.830019,0.942352,0.882626,0.984824,0.968663,0.976676
10,reversedHeading,269999,0.02509,0.844928,0.918002,0.858226,0.125484,0.505496,0.966705,0.759002,0.918002,0.830965,0.935127,0.966385,0.950499
11,suddenConstantSpeed,57757,0.00537,0.731539,0.634585,0.580704,0.153769,0.309985,0.753655,0.431246,0.634585,0.513519,0.923124,0.671953,0.777763
12,suddenStop,211445,0.01965,0.901743,0.674962,0.742967,0.113085,0.502057,0.904320,0.811619,0.674962,0.737009,0.991787,0.817820,0.896441
13,timeDelayAttack,490574,0.04559,0.122901,0.287675,0.125905,0.089275,0.000000,0.256167,0.128977,0.287675,0.178103,0.165118,0.464955,0.243694
14,trafficCongestionSybil,2393335,0.22240,0.975303,0.728400,0.768404,0.308145,0.141075,0.979749,0.970247,0.728400,0.832107,0.974924,0.983907,0.979395
15,zeroSpeedReport,266359,0.02475,0.900212,0.818309,0.810409,0.228962,0.117750,0.947625,0.882671,0.818309,0.849272,0.926690,0.985696,0.955283
