round,evaluated,lr,accuracy,accuracy_std,accuracy_min,accuracy_max,precision_macro,precision_macro_std,precision_macro_min,precision_macro_max,precision_micro,precision_micro_std,precision_micro_min,precision_micro_max,precision_weighted,precision_weighted_std,precision_weighted_min,precision_weighted_max,recall_macro,recall_macro_std,recall_macro_min,recall_macro_max,recall_micro,recall_micro_std,recall_micro_min,recall_micro_max,recall_weighted,recall_weighted_std,recall_weighted_min,recall_weighted_max,f1_macro,f1_macro_std,f1_macro_min,f1_macro_max,f1_micro,f1_micro_std,f1_micro_min,f1_micro_max,f1_weighted,f1_weighted_std,f1_weighted_min,f1_weighted_max,global_accuracy,global_precision_macro,global_precision_micro,global_precision_weighted,global_recall_macro,global_recall_micro,global_recall_weighted,global_f1_macro,global_f1_micro,global_f1_weighted,loss_s_client_mean,loss_r_client_mean,ce_s_client_mean,ce_r_client_mean,kl_s_client_mean,kl_r_client_mean,gnorm_s_client_mean,gnorm_r_client_mean,steps,skipped,train_sec,eval_sec,vram_train_gb,vram_eval_gb,backend,seconds
1,50,0.001,0.5174652475996723,0.09848035586448782,0.2466808278483457,0.711519742470805,0.5543752276637943,0.07447808553755941,0.3826300209092739,0.7044252000586428,0.5174652475996723,0.09848035586448782,0.2466808278483457,0.711519742470805,0.6466598396176026,0.07818986529447589,0.4069101031649435,0.7430267878214035,0.4826694388857106,0.07253209365290235,0.33052415244288014,0.6533272297391767,0.5174652475996723,0.09848035586448782,0.2466808278483457,0.711519742470805,0.5174652475996723,0.09848035586448782,0.2466808278483457,0.711519742470805,0.4234392321099694,0.07729260879436012,0.25703356675700156,0.6287365421874122,0.5174652475996723,0.09848035586448782,0.2466808278483457,0.711519742470805,0.5033551632109835,0.10207848000224098,0.24516676298992754,0.6805401297208489,0.48904016905696623,0.5009655127170718,0.48904016905696623,0.612434390989556,0.274962266006529,0.48904016905696623,0.48904016905696623,0.23850971539487295,0.48904016905696623,0.4541265271860258,0.3405253353482258,0.3404765678797237,0.24382733302907858,0.24377101059266346,0.04172196547814812,0.04173085114848465,1.0736590848250003,1.073638664574924,84098,6,695.9682209550001,695.215728054,7.163312911987305,7.186367034912109,compiled,1392.810796175
2,50,0.0009989829694114164,0.5273806159695866,0.09304786726233959,0.27337396456929214,0.7144283942998565,0.5775346789190026,0.07776876947068784,0.4001101608757386,0.7089396432497473,0.5273806159695866,0.09304786726233959,0.27337396456929214,0.7144283942998565,0.6578552896999017,0.08047499170084159,0.4154959105363657,0.7467031384982975,0.5026172671339169,0.06782242163393953,0.36720125474240606,0.661326091156726,0.5273806159695866,0.09304786726233959,0.27337396456929214,0.7144283942998565,0.5273806159695866,0.09304786726233957,0.2733739645692922,0.7144283942998564,0.4433873758777969,0.07344997760064888,0.30238429499494507,0.6407296006333391,0.5273806159695866,0.09304786726233959,0.27337396456929214,0.7144283942998565,0.5130759188320319,0.09731636901261734,0.25739646338758815,0.6901120259174003,0.7846266028320071,0.7358647144483742,0.7846266028320071,0.7607222282439576,0.6545130943562618,0.7846266028320071,0.7846266028320071,0.6761840476961254,0.7846266028320071,0.7591833747523417,0.26646002797466134,0.2841986423907763,0.14791423166096065,0.16991320396551296,0.044097384736875106,0.040006033036492,0.8509998220066683,1.0568336036249375,84098,12,597.183650922,693.2824900719997,7.1807098388671875,7.16783332824707,compiled,1292.087699929
3,50,0.0009959360568425068,0.5296875492213193,0.08942445014837391,0.30440642956924613,0.7041307019021696,0.5899379793946103,0.07015131223181328,0.43496181537930856,0.7027116955193677,0.5296875492213193,0.08942445014837391,0.30440642956924613,0.7041307019021696,0.665606713993566,0.07069998103597047,0.4241059201459654,0.7389683743699733,0.514920004201935,0.06593172425961576,0.37878211821577357,0.6550990658075111,0.5296875492213193,0.08942445014837391,0.30440642956924613,0.7041307019021696,0.5296875492213193,0.08942445014837393,0.30440642956924613,0.7041307019021696,0.45561338827164916,0.07199027138213812,0.305370924907116,0.6323893073258448,0.5296875492213193,0.08942445014837391,0.30440642956924613,0.7041307019021696,0.517021901829368,0.0932978631660601,0.2911622606236729,0.6786923811268394,0.7573450637155604,0.7388394309435983,0.7573450637155604,0.7655127946173453,0.7195570772829029,0.7573450637155604,0.7573450637155604,0.7254501340132135,0.7573450637155604,0.7596179397077734,0.2364944020599192,0.24972837647356505,0.12239101923754094,0.1389295994117993,0.03342259380087265,0.031215856119268803,0.8006735392995503,0.9518165543395155,84098,22,583.2409503149997,693.1611668180003,6.978145599365234,7.167950630187988,compiled,1278.154946388
4,50,0.0009908717827105773,0.5350222383953378,0.09105278939158466,0.3101483708864219,0.7258635841269998,0.5991511748336729,0.07053018737153176,0.43726979579285363,0.7128072723619874,0.5350222383953378,0.09105278939158466,0.3101483708864219,0.7258635841269998,0.6697460171471314,0.0702447255035174,0.43424944734917914,0.7466345071530673,0.5253900206959932,0.06351770133212821,0.36861902659497625,0.6738754086121219,0.5350222383953378,0.09105278939158466,0.3101483708864219,0.7258635841269998,0.5350222383953378,0.09105278939158466,0.3101483708864219,0.7258635841269998,0.46716195047101045,0.06990303648008168,0.2988367257669484,0.6583503925845424,0.5350222383953378,0.09105278939158466,0.3101483708864219,0.7258635841269998,0.5219700746124303,0.09521271492421889,0.29281347792488777,0.702631752620497,0.7440665166048512,0.7356081322906225,0.7440665166048512,0.7661109828530042,0.7379405637277225,0.7440665166048512,0.7440665166048512,0.7320556654713252,0.7440665166048512,0.7491995208278441,0.2197251452407793,0.23073110511060876,0.10833763202250372,0.12238862701247237,0.028818915571676252,0.026929252498212933,0.7554420571734662,0.8867297009171307,84098,33,585.4064412849993,693.1193150219997,6.977502822875977,7.167340278625488,compiled,1280.167656832
5,50,0.0009838109572043196,0.5389130464478272,0.0872768840574781,0.3281118351120302,0.7151236606806418,0.6058504027158468,0.06961903761507825,0.4457222096733029,0.713941378632083,0.5389130464478272,0.0872768840574781,0.3281118351120302,0.7151236606806418,0.6758300980496006,0.06949646961287016,0.4374734610963903,0.7486149709219988,0.5337440912013893,0.06201224924045984,0.3903975994976284,0.6735911555925035,0.5389130464478272,0.0872768840574781,0.3281118351120302,0.7151236606806418,0.5389130464478272,0.0872768840574781,0.3281118351120302,0.7151236606806418,0.4752414589967068,0.06828085043339228,0.31162673558316656,0.6478467146686363,0.5389130464478272,0.0872768840574781,0.3281118351120302,0.7151236606806418,0.5263820895199777,0.09224491697317849,0.3141998930538975,0.6955654353263165,0.7405501339377436,0.7393390755451674,0.7405501339377436,0.76789098965261,0.745459555519717,0.7405501339377436,0.7405501339377437,0.734712537324598,0.7405501339377436,0.7443870233447583,0.20815895400832157,0.21776353714031083,0.09915494728111886,0.11174219840490222,0.02592539990223881,0.024126573496810962,0.7141113638474521,0.8408925328199033,84098,36,586.2212774150003,693.6461309249999,6.977502822875977,7.16783332824707,compiled,1281.65041835
6,50,0.000974782594770281,0.5388257710956709,0.0885811317445826,0.3268637566891047,0.7184971243830812,0.6100968298621287,0.07140195071557662,0.43667065558471785,0.7142106047475945,0.5388257710956709,0.0885811317445826,0.3268637566891047,0.7184971243830812,0.6729057900122567,0.07848938399012899,0.42906268111274515,0.8014584200185306,0.5369424637594442,0.061010667801280644,0.3825036217893917,0.6728648955774215,0.5388257710956709,0.0885811317445826,0.3268637566891047,0.7184971243830812,0.5388257710956709,0.08858113174458258,0.3268637566891047,0.7184971243830811,0.4787046584702359,0.06766986912474725,0.30668502042855245,0.6548470793539587,0.5388257710956709,0.0885811317445826,0.3268637566891047,0.7184971243830812,0.5262502389088982,0.09314362539089335,0.31754332375698996,0.6968086983395674,0.7425889129265744,0.742491360140489,0.7425889129265744,0.7701191934810525,0.7501991301175849,0.7425889129265744,0.7425889129265744,0.7377738105583767,0.7425889129265744,0.7456537381008155,0.1994160612059854,0.20811770332782367,0.09250930611244694,0.10418971278334566,0.023918503189692148,0.022134400822966742,0.6760696040142764,0.8038468756951314,84098,29,616.8927824749999,693.1692117590001,6.978145599365234,7.167950630187988,compiled,1311.8524844440008
7,50,0.0009638237948862808,0.5429959885118428,0.08959961891423406,0.3129261840274025,0.7042344993557031,0.6143235017636581,0.06829226678576514,0.43495467913568764,0.7204485421595743,0.5429959885118428,0.08959961891423406,0.3129261840274025,0.7042344993557031,0.6758920050423071,0.07746238305231375,0.43316031239992303,0.8033170655335938,0.5448136701739474,0.061440191177597143,0.3904520033218569,0.6680224963719765,0.5429959885118428,0.08959961891423406,0.3129261840274025,0.7042344993557031,0.5429959885118428,0.08959961891423406,0.3129261840274025,0.7042344993557031,0.48596898291544227,0.06804467023708353,0.3141200196821781,0.6402714809987367,0.5429959885118428,0.08959961891423406,0.3129261840274025,0.7042344993557031,0.5297572489226928,0.0943112064419795,0.3038108692534072,0.687521958739824,0.7519278959884468,0.7478720854758854,0.7519278959884468,0.7741569940388139,0.7536268070402967,0.7519278959884468,0.7519278959884468,0.7428055429753455,0.7519278959884468,0.7545149996068163,0.19253706381422428,0.2006146297638539,0.08748549078225387,0.09855536700968352,0.022381269021786103,0.020621021409158814,0.6398799758863611,0.7731405667444333,84098,29,635.4966359480004,693.5425611680002,6.977502822875977,7.16783332824707,compiled,1330.7010040560017
8,50,0.0009509795896116975,0.5426414658467814,0.08827272702646285,0.3278553615473459,0.7260096625486243,0.6165620503228942,0.06585357908978066,0.48343328722705087,0.7150141101220753,0.5426414658467814,0.08827272702646285,0.3278553615473459,0.7260096625486243,0.6767781936560947,0.06900792347742082,0.4426467362587346,0.7495828439746799,0.5479253578015337,0.05986788306495223,0.39032470967145505,0.6819216895181709,0.5426414658467814,0.08827272702646285,0.3278553615473459,0.7260096625486243,0.5426414658467814,0.08827272702646285,0.3278553615473459,0.7260096625486243,0.4903030234125398,0.06718712168255862,0.313089538893954,0.6618062598983003,0.5426414658467814,0.08827272702646285,0.3278553615473459,0.7260096625486243,0.530494856895702,0.093640689365843,0.3106865959088512,0.7060209686548672,0.7478910392503983,0.7516424546569018,0.7478910392503983,0.7758176274561677,0.7575535389028892,0.7478910392503983,0.7478910392503983,0.7460051533777445,0.7478910392503983,0.7511250063624314,0.18663574261858373,0.19428702196262593,0.08346532911527524,0.09409813843579279,0.021175629716526662,0.01941060936375681,0.6106586548666193,0.7474432761805774,84098,26,611.7482878999999,693.5759451739996,6.977502822875977,7.167340278625488,compiled,1307.1481674440001
9,50,0.0009363027585410778,0.5464532428712662,0.09006002102691253,0.32324673602541987,0.7175206663331891,0.6214421734935879,0.06814564259095302,0.4820655960012346,0.7171259394666165,0.5464532428712662,0.09006002102691253,0.32324673602541987,0.7175206663331891,0.6789847999658372,0.07033042667264205,0.4391754685213546,0.7563152778054418,0.5519910543964661,0.06074828327150775,0.39383860716060676,0.6773864319979113,0.5464532428712662,0.09006002102691253,0.32324673602541987,0.7175206663331891,0.5464532428712662,0.09006002102691253,0.32324673602541987,0.717520666333189,0.493303813642947,0.06776045692400978,0.32333392872986,0.653822466451845,0.5464532428712662,0.09006002102691253,0.32324673602541987,0.7175206663331891,0.53347593904042,0.09568400033249476,0.3096771871725837,0.6988900305162373,0.7493644612944685,0.7534891410204898,0.7493644612944685,0.7769797191409914,0.7597661445449119,0.7493644612944685,0.7493644612944685,0.7482414156678006,0.7493644612944685,0.7525053501827104,0.18197239929066733,0.18923760523872146,0.08017616987694864,0.0904857280489373,0.020210760096354953,0.018442022298235713,0.5836570107407635,0.7251214515470289,84098,24,604.3318238240008,692.9917244090011,6.977502822875977,7.16783332824707,compiled,1298.9340975590003
10,50,0.0009198536119214611,0.5455969371109163,0.08846975808265448,0.3063165071497117,0.7050323551623622,0.6214856452873224,0.06926998593097342,0.4501160382495588,0.7229193700083428,0.5455969371109163,0.08846975808265448,0.3063165071497117,0.7050323551623622,0.6788100148761735,0.07002966296029435,0.44027799669513634,0.752527902104707,0.5532908605665635,0.061396054518374016,0.3875841988238279,0.6756321485627498,0.5455969371109163,0.08846975808265448,0.3063165071497117,0.7050323551623622,0.5455969371109163,0.08846975808265448,0.3063165071497117,0.7050323551623622,0.4955197330683859,0.06806321114324726,0.3214505784043763,0.6468391087658684,0.5455969371109163,0.08846975808265448,0.3063165071497117,0.7050323551623622,0.5329720811024788,0.0938677067317996,0.2909699461123171,0.6873846838352664,0.7467793750278194,0.7560326263730732,0.7467793750278194,0.7788421220254067,0.7615867848574107,0.7467793750278194,0.7467793750278194,0.74884310449017,0.7467793750278194,0.749937336845545,0.17747605266227545,0.18444112919225147,0.07736732006152038,0.08739514377434907,0.019308159650434607,0.017556193859649478,0.5591116311078554,0.7043472970198731,84098,33,586.6381901419991,693.2373033860003,6.977502822875977,7.167340278625488,compiled,1281.6725546750004
11,50,0.0009016997428246386,0.5472994179258109,0.08842980702256543,0.3360861186192095,0.7075156883299789,0.627098355044537,0.06705680272799626,0.49455525854520466,0.7235783094087329,0.5472994179258109,0.08842980702256543,0.3360861186192095,0.7075156883299789,0.6852299398817097,0.07087658611873521,0.43644754529768515,0.8115890319285399,0.5567597877602516,0.06052091222565799,0.40231191808875877,0.6742360068807887,0.5472994179258109,0.08842980702256543,0.3360861186192095,0.7075156883299789,0.5472994179258108,0.08842980702256543,0.3360861186192095,0.7075156883299789,0.49965176311167475,0.06664938410411206,0.32919392753247445,0.6447337951803075,0.5472994179258109,0.08842980702256543,0.3360861186192095,0.7075156883299789,0.5352297930907569,0.0927886652410311,0.31980272168289736,0.6937261311919776,0.7494379651313038,0.7574336316022025,0.7494379651313038,0.7798914523420017,0.7635490479390248,0.7494379651313038,0.7494379651313037,0.7508069382561006,0.7494379651313038,0.7523475861998525,0.17388591137157675,0.18045270785993434,0.07497115802210533,0.08474310219503875,0.01862813113937714,0.016844402165509913,0.5387696026551153,0.6884800008836642,84098,27,585.8084259360003,693.2783001789994,6.977502822875977,7.167950630187988,compiled,1280.7127162689994
12,50,0.0008819157493927215,0.5490975986919104,0.08941434452515355,0.3364818870655828,0.7213383125135961,0.6276873595906282,0.07061856465525056,0.4406722338524319,0.723341170205603,0.5490975986919104,0.08941434452515355,0.3364818870655828,0.7213383125135961,0.6860376497566092,0.07130715861737401,0.44285312541320254,0.8141537876610196,0.5602336307297988,0.059317823633952306,0.40336294436335596,0.6854068183237716,0.5490975986919104,0.08941434452515355,0.3364818870655828,0.7213383125135961,0.5490975986919104,0.08941434452515354,0.3364818870655828,0.7213383125135961,0.5022319211001839,0.06780849803834696,0.3283927757338789,0.659718470720712,0.5490975986919104,0.08941434452515355,0.3364818870655828,0.7213383125135961,0.5370347859933862,0.09311688235457433,0.3150416997372341,0.7002120241235664,0.7454074273071679,0.7596947185060685,0.7454074273071679,0.7819481652802026,0.7658269700997129,0.7454074273071679,0.7454074273071679,0.7512985753355484,0.7454074273071679,0.7483779436265707,0.17036450348742263,0.1767420279144878,0.07277629229729897,0.08237376540182963,0.01799392586562149,0.016197610445806296,0.5204421937470274,0.6730939433350085,84098,30,585.2310429219997,693.1134189099994,6.977502822875977,7.167056083679199,compiled,1280.1379040119991
13,50,0.0008605829282983752,0.5518744825808453,0.08843056700184755,0.33892907232861175,0.7321834272915565,0.6300297477493428,0.06548619943972928,0.503747550941334,0.7262566589731176,0.5518744825808453,0.08843056700184755,0.33892907232861175,0.7321834272915565,0.6825531797042973,0.07889980397813959,0.42532044123288765,0.8146404083205969,0.5639935502128517,0.058580559962360126,0.3946857694413398,0.6925836114257223,0.5518744825808453,0.08843056700184755,0.33892907232861175,0.7321834272915565,0.5518744825808451,0.08843056700184755,0.3389290723286118,0.7321834272915564,0.5062341190917109,0.06595537544227881,0.31271465111893015,0.6706894564923119,0.5518744825808453,0.08843056700184755,0.33892907232861175,0.7321834272915565,0.539739825039804,0.0930401581863793,0.3161839376508073,0.7126892166606186,0.7469461757700688,0.7615671044053092,0.7469461757700688,0.7834175983681854,0.7676714646154543,0.7469461757700688,0.7469461757700688,0.7532105181063509,0.7469461757700688,0.7499185143859515,0.167118592265151,0.17329540507118804,0.07084775051526941,0.08031174277564618,0.017417621228096064,0.015599708555567035,0.503902856963347,0.6603550132435183,84098,29,583.5610863460006,693.2623097960022,6.978145599365234,7.167950630187988,compiled,1278.4436615460017
14,50,0.0008377889406793518,0.552653043398022,0.08789415023527185,0.341396886987061,0.731625876063982,0.6321174405426452,0.06811094437112296,0.474645647258176,0.7300176043858841,0.552653043398022,0.08789415023527185,0.341396886987061,0.731625876063982,0.6877510694189916,0.06998420325319829,0.4466875044340253,0.807143014700098,0.5650552432023415,0.05950487487702408,0.404412500449985,0.6904556614317434,0.552653043398022,0.08789415023527185,0.341396886987061,0.731625876063982,0.552653043398022,0.08789415023527183,0.34139688698706094,0.7316258760639819,0.5075964214580982,0.068201043642236,0.3294233073772179,0.6686015385082569,0.552653043398022,0.08789415023527185,0.341396886987061,0.731625876063982,0.5400545110937356,0.09241464876207123,0.32313800833256767,0.7102345241835188,0.7451677732045154,0.7608827198009096,0.7451677732045154,0.7829444417767071,0.7682388150950651,0.7451677732045154,0.7451677732045154,0.7522670323583375,0.7451677732045154,0.7474646653219333,0.16445274584851965,0.17040799840653836,0.06913606113511342,0.07849487055405699,0.01696473133090593,0.015114474704415716,0.49035751141287437,0.6503817621408023,84098,28,585.9892519069981,692.9393512040006,6.978145599365234,7.167340278625488,compiled,1280.7011160729999
15,50,0.0008136274519200731,0.555483353704087,0.08845536998811467,0.3367288822593983,0.720747122361958,0.6372439806781853,0.06453500082572991,0.5052951930728116,0.7310089489906196,0.555483353704087,0.08845536998811467,0.3367288822593983,0.720747122361958,0.6863594092707892,0.06852107931724183,0.45065058999290036,0.7586788826920542,0.5692836313276026,0.05942984544019011,0.4024682048423184,0.6854436263304338,0.555483353704087,0.08845536998811467,0.3367288822593983,0.720747122361958,0.555483353704087,0.08845536998811467,0.3367288822593983,0.7207471223619579,0.5119101466569036,0.06724288639856865,0.32704522263695085,0.6652246487647614,0.555483353704087,0.08845536998811467,0.3367288822593983,0.720747122361958,0.5424785942761369,0.09414507204195408,0.32053171183036,0.7009956683412814,0.7434297001777567,0.7649297796999713,0.7434297001777567,0.7856335637798053,0.771720313106429,0.7434297001777567,0.7434297001777566,0.7563106666583406,0.7434297001777567,0.7464219584867691,0.16181635271629524,0.16761194203788599,0.06756279987062594,0.0768171736144447,0.01654386967590232,0.014666026808725616,0.4760507050382921,0.6413363554532131,84098,23,584.1467981189999,693.2230457599981,6.977502822875977,7.167950630187988,compiled,1279.1372557590003
