benign,accelerationMultiplication,constantPositionOffset,constantSpeedOffset,dataReplay,dosAttack,feignedBraking,positionMirroring,randomPositionOffset,randomSpeedOffset,reversedHeading,suddenConstantSpeed,suddenStop,timeDelayAttack,trafficCongestionSybil,zeroSpeedReport
980931,1145,56249,8613,148189,16979,1877,142944,13,989,5322,8,323,1010777,16688,89
1030,153664,2,38,70,411,999,89,0,89,40,0,0,156,897,5
15165,6,399826,196,2259,555,43,7594,3069,28,85,0,5,11178,2463,3
5303,46,54,411301,590,2204,190,5764,49,2108,176,44,6,1878,2976,488
54244,43,1399,681,370706,410,82,7778,737,1447,1246,52,479,27012,8722,372
3107,12,49,122,204,1565947,173,158,1,53,86,0,0,945,3229,4
939,350,0,62,71,313,115490,18,0,161,29,0,0,159,1013,0
107062,270,26288,16902,15866,2245,361,203587,1393,132,1752,2,28,86587,4557,17
294,1,4110,464,993,158,17,408,458388,61,498,55,1,30,4571,230
2033,359,0,5021,844,813,476,95,8,525173,103,922,44,170,5657,445
1716,4,28,119,1250,333,141,647,71,75,260923,0,0,394,4297,1
315,7,1,680,29,92,16,11,13,84,7,38810,0,34,255,17403
7640,0,46,1,17845,55,0,1271,0,1237,0,0,172924,8234,556,1636
186919,271,7634,2240,31914,3094,379,23694,114,652,994,23,117,228095,4400,34
15081,187,1392,1050,138,4600,474,823,612,450,7763,0,163,5739,2354820,43
132,1,4,264,30,125,6,11,12,527,0,2126,266,19,287,262549
