benign,accelerationMultiplication,constantPositionOffset,constantSpeedOffset,dataReplay,dosAttack,feignedBraking,positionMirroring,randomPositionOffset,randomSpeedOffset,reversedHeading,suddenConstantSpeed,suddenStop,timeDelayAttack,trafficCongestionSybil,zeroSpeedReport
992969,637,75486,18880,171731,12787,1432,422666,11,1038,2062,12,599,665133,25485,208
1108,152880,0,169,94,402,891,139,0,207,31,0,0,144,1413,12
22573,14,379853,472,4365,547,37,16321,3543,77,76,0,18,11503,3075,1
7479,18,98,406043,1205,1721,141,7131,104,1926,194,40,9,1799,4737,532
44731,39,1688,1957,351035,372,52,20410,2798,1608,685,98,166,39889,9387,495
2598,14,10,242,219,1564956,89,481,0,28,81,0,0,456,4880,36
816,366,1,191,71,308,115016,71,0,100,33,0,0,131,1501,0
141676,173,25643,39781,23359,1869,392,147295,1889,177,828,93,68,77899,5807,100
210,0,3731,963,925,90,7,303,457403,52,1067,42,0,24,5204,258
1361,1167,9,6147,1264,734,1086,244,9,520377,151,1504,76,275,7183,576
2433,8,36,772,1370,335,109,872,10,63,258152,0,0,587,5250,2
295,2,0,1213,44,104,16,123,18,34,8,39925,0,33,368,15574
5571,0,181,20,21717,37,0,3541,0,1641,0,0,166470,9924,821,1522
197466,121,7963,4388,37481,2638,299,78452,236,1006,442,19,254,153516,6230,63
5746,78,809,526,73,3247,201,654,466,225,4499,0,253,3026,2373021,511
252,3,0,1077,30,177,9,20,29,578,1,10990,325,18,792,252058
