round,evaluated,lr,accuracy,accuracy_std,accuracy_min,accuracy_max,precision_macro,precision_macro_std,precision_macro_min,precision_macro_max,precision_micro,precision_micro_std,precision_micro_min,precision_micro_max,precision_weighted,precision_weighted_std,precision_weighted_min,precision_weighted_max,recall_macro,recall_macro_std,recall_macro_min,recall_macro_max,recall_micro,recall_micro_std,recall_micro_min,recall_micro_max,recall_weighted,recall_weighted_std,recall_weighted_min,recall_weighted_max,f1_macro,f1_macro_std,f1_macro_min,f1_macro_max,f1_micro,f1_micro_std,f1_micro_min,f1_micro_max,f1_weighted,f1_weighted_std,f1_weighted_min,f1_weighted_max,global_accuracy,global_precision_macro,global_precision_micro,global_precision_weighted,global_recall_macro,global_recall_micro,global_recall_weighted,global_f1_macro,global_f1_micro,global_f1_weighted,loss_s_client_mean,loss_r_client_mean,ce_s_client_mean,ce_r_client_mean,kl_s_client_mean,kl_r_client_mean,gnorm_s_client_mean,gnorm_r_client_mean,steps,skipped,train_sec,eval_sec,vram_train_gb,vram_eval_gb,backend,seconds
1,20,0.001,0.5830582530451822,0.12646897115487526,0.3709221980936766,0.779449089207546,0.6526811129413743,0.08287890778450456,0.5061622511189294,0.7702566003455358,0.5830582530451822,0.12646897115487526,0.3709221980936766,0.779449089207546,0.6906740253449979,0.10151629698573666,0.43576653770246765,0.7861037570792933,0.5682635475520138,0.08016473869943722,0.35907961351080686,0.6926197416286329,0.5830582530451822,0.12646897115487526,0.3709221980936766,0.779449089207546,0.5830582530451822,0.1264689711548753,0.3709221980936766,0.779449089207546,0.5142798136546847,0.10589448191668316,0.29720240169058787,0.6968379624833327,0.5830582530451822,0.12646897115487526,0.3709221980936766,0.779449089207546,0.5581915392149019,0.13808684793019002,0.30525130222951086,0.754074480107068,0.45067813561931813,0.5127385243738808,0.45067813561931813,0.5859518189772914,0.26660709969916546,0.45067813561931813,0.45067813561931813,0.24069360258657893,0.45067813561931813,0.42470834402558866,0.2972532044341868,0.297288536656277,0.21869835857378214,0.21872703508895625,0.032970947924538765,0.03297156112065812,0.9497275166564085,0.9462493267560049,84083,27,613.3430553080001,294.8103424159999,7.116462707519531,7.098269939422607,compiled,908.680205146
2,20,0.0009989829694114164,0.5898616743281948,0.12265224382609992,0.3917425548093765,0.7715412472216525,0.6692736009223951,0.07518161027664577,0.542898164391835,0.7760821787758554,0.5898616743281948,0.12265224382609992,0.3917425548093765,0.7715412472216525,0.7011778617572823,0.09679122936468425,0.4435112159749478,0.7862695961497036,0.5861731970567133,0.08122798778082184,0.3700198276891451,0.7083772035988405,0.5898616743281948,0.12265224382609992,0.3917425548093765,0.7715412472216525,0.5898616743281949,0.12265224382609995,0.3917425548093765,0.7715412472216526,0.5339628410755622,0.10519172652178992,0.29205007525382926,0.7077940667198097,0.5898616743281948,0.12265224382609992,0.3917425548093765,0.7715412472216525,0.5666127163224621,0.13462602861203962,0.33940315283351674,0.7536112433454236,0.8126129796253125,0.8348335041224377,0.8126129796253125,0.825015800047904,0.6801713629879405,0.8126129796253125,0.8126129796253125,0.6968150126927116,0.8126129796253125,0.7734346698039787,0.23704611895973912,0.2492358368661955,0.14420112359119075,0.158790376768761,0.031647694993083265,0.0295032673908495,0.7411326654633248,0.8922064192065022,84083,30,569.7225828539999,293.07610368500013,7.0091552734375,7.080069541931152,compiled,863.534256417
3,20,0.0009959360568425068,0.5974074797169833,0.12474328559885155,0.3850973805035301,0.7936154437229628,0.6818684420816219,0.08060203419253871,0.5346477815740285,0.7917909201145932,0.5974074797169833,0.12474328559885155,0.3850973805035301,0.7936154437229628,0.7083149901362356,0.0995912505055238,0.45156274324297907,0.7975612434357551,0.6017532738107447,0.0800214472851606,0.3916599291538405,0.7265327117705584,0.5974074797169833,0.12474328559885155,0.3850973805035301,0.7936154437229628,0.5974074797169833,0.12474328559885155,0.38509738050353015,0.7936154437229628,0.5502981814917477,0.10833545964328888,0.32361035910793357,0.7389340458257918,0.5974074797169833,0.12474328559885155,0.3850973805035301,0.7936154437229628,0.5751113382114015,0.13900343000294663,0.3248945800671491,0.7756121568895806,0.8357128845349507,0.8453085665360891,0.8357128845349507,0.834801146837007,0.7420084672489071,0.8357128845349507,0.8357128845349507,0.7603310444457427,0.8357128845349507,0.8093268084642883,0.2079644326648228,0.21606641825205825,0.11845685278326776,0.12820477276010472,0.02378891842060935,0.02282115586982062,0.6713391940331147,0.7844695629880608,84083,33,569.322477577,293.32684968600006,7.017597198486328,7.079740047454834,compiled,863.2180568139997
4,20,0.0009908717827105773,0.6018524500148354,0.12046851902342902,0.39606097491735,0.7889878614592992,0.6930393835009993,0.0803536251690533,0.5481942494525789,0.7978845279237303,0.6018524500148354,0.12046851902342902,0.39606097491735,0.7889878614592992,0.711830418859877,0.09918961579561088,0.4594135075579659,0.8011591351526965,0.6094312109618744,0.08021493529059386,0.3976238836251562,0.7291811284152017,0.6018524500148354,0.12046851902342902,0.39606097491735,0.7889878614592992,0.6018524500148354,0.120468519023429,0.39606097491735,0.7889878614592992,0.5575525157653002,0.10637797124873405,0.33294931570460123,0.7380448197776782,0.6018524500148354,0.12046851902342902,0.39606097491735,0.7889878614592992,0.5795357010729314,0.13451102203953114,0.34246982829545064,0.7719565050964659,0.8238242197093801,0.8425018340225519,0.8238242197093801,0.8327161468889145,0.7624306989430398,0.8238242197093801,0.8238242197093801,0.7754937216667936,0.8238242197093801,0.8104154917161586,0.19077901924222526,0.19717669599366364,0.10440673954575079,0.11231872136476126,0.020055377840521804,0.019252506836132013,0.6094644535788403,0.7124005830573227,84083,32,568.9144661519999,293.23158793699986,7.016931056976318,7.079494476318359,compiled,862.721570484
5,20,0.0009838109572043196,0.6050104619841594,0.12203138495038168,0.3910766527932434,0.7897898059749605,0.6990052123952488,0.07896356904480324,0.5426014366661448,0.7914088842638305,0.6050104619841594,0.12203138495038168,0.3910766527932434,0.7897898059749605,0.7151506325888416,0.1010018759286211,0.4472468910682087,0.8066554044686352,0.6189489157283434,0.08088820065311424,0.38975627692538994,0.7348604911934749,0.6050104619841594,0.12203138495038168,0.3910766527932434,0.7897898059749605,0.6050104619841594,0.12203138495038168,0.3910766527932434,0.7897898059749606,0.5687928361701047,0.10767409363244541,0.31848712803850066,0.7435829379992895,0.6050104619841594,0.12203138495038168,0.3910766527932434,0.7897898059749605,0.5842080236229698,0.1361639190430961,0.34369382190616726,0.776822906600403,0.806465977341304,0.8438541384537848,0.806465977341304,0.8317431252650528,0.7709031393245727,0.806465977341304,0.806465977341304,0.7781017531359227,0.806465977341304,0.8012059871757558,0.17911106049963116,0.1845888434520542,0.0955609153728459,0.10251694086542966,0.017756603309834754,0.016998068044303746,0.5555540020915528,0.6546686578865882,84083,34,568.4309698139996,293.39952438900036,7.017022132873535,7.079338550567627,compiled,862.4147773579998
6,20,0.000974782594770281,0.6081413676713028,0.12342398989552145,0.3918324134822206,0.7985840614874927,0.7007185680880865,0.07308947758623749,0.5452167615589902,0.7891343211241533,0.6081413676713028,0.12342398989552145,0.3918324134822206,0.7985840614874927,0.718625540963673,0.1020353481147144,0.4492996026835241,0.8082094471737247,0.626283175519565,0.0792418891944731,0.38900175035728934,0.7407468676040484,0.6081413676713028,0.12342398989552145,0.3918324134822206,0.7985840614874927,0.6081413676713028,0.12342398989552145,0.39183241348222053,0.7985840614874928,0.5761216340211447,0.10641611556920041,0.3236743743996211,0.7464690288176961,0.6081413676713028,0.12342398989552145,0.3918324134822206,0.7985840614874927,0.5872455274312122,0.13808863873939262,0.33417474930825875,0.7819555042625584,0.7972072816562022,0.8391894234762012,0.7972072816562022,0.8284950195821774,0.7758932773691549,0.7972072816562022,0.7972072816562022,0.7794535389371653,0.7972072816562022,0.7952782024263467,0.1705094600516834,0.17549197776739475,0.08930845972636275,0.0957780765793936,0.016174847739130284,0.015429530524857788,0.5106988435388645,0.6088833381711283,84083,33,568.6842053480004,292.838172105,7.01708984375,7.079494476318359,compiled,862.2729323160002
7,20,0.0009638237948862808,0.6075367777051619,0.12148002335992791,0.3991946915919323,0.8004171969985531,0.7049973138428222,0.07619912732263116,0.5581292351507323,0.7901451263062345,0.6075367777051619,0.12148002335992791,0.3991946915919323,0.8004171969985531,0.7204015651765368,0.10023437725956869,0.4591221590248453,0.8096667908478961,0.628206588821687,0.07876855622979287,0.4068556507466189,0.7438849876681538,0.6075367777051619,0.12148002335992791,0.3991946915919323,0.8004171969985531,0.6075367777051619,0.12148002335992789,0.3991946915919323,0.800417196998553,0.5768290853025811,0.10593220218912743,0.3377368312820711,0.7494504733098264,0.6075367777051619,0.12148002335992791,0.3991946915919323,0.8004171969985531,0.5872077319544686,0.13596702034840966,0.3507247872444429,0.785075018502263,0.7946310232839897,0.8357042583703819,0.7946310232839897,0.8270984970858382,0.7817369195775297,0.7946310232839897,0.7946310232839897,0.782317898303363,0.7946310232839897,0.7936510621716164,0.16384110707988525,0.1684496676446675,0.08456552797178657,0.09072097508922491,0.015030496067503184,0.014272481205144873,0.47494357626937755,0.5749146015215871,84083,31,568.1491712890002,292.95238987099947,7.017022132873535,7.079338550567627,compiled,861.7173231139996
8,20,0.0009509795896116975,0.6102797392481587,0.11990348205942845,0.39887530766373674,0.7974058628184233,0.7036308750510317,0.07637157060852615,0.564545847021618,0.7919572524276883,0.6102797392481587,0.11990348205942845,0.39887530766373674,0.7974058628184233,0.7191831532153156,0.10046131240978198,0.45414494536184563,0.8107300702969658,0.6362200563985282,0.07794884550965532,0.4073492043180814,0.7468408642440119,0.6102797392481587,0.11990348205942845,0.39887530766373674,0.7974058628184233,0.6102797392481588,0.11990348205942844,0.3988753076637368,0.7974058628184233,0.5866758784439227,0.10276308912176368,0.34044892973161833,0.750724268459594,0.6102797392481587,0.11990348205942845,0.39887530766373674,0.7974058628184233,0.5906403476447667,0.133666723248159,0.3496997364032818,0.7836187213310917,0.7922183132718658,0.8336135123614072,0.7922183132718658,0.8257618536942279,0.7854565768516447,0.7922183132718658,0.7922183132718659,0.7835212012841645,0.7922183132718658,0.7914215190786515,0.1584430577290757,0.16282410108838605,0.0808138719891714,0.08674025707682029,0.014115935882781405,0.013366438043355282,0.4477667973163334,0.547562037470732,84083,26,568.4558933029994,293.1587213470002,7.01708984375,7.079494476318359,compiled,862.1997482659999
9,20,0.0009363027585410778,0.6106659549834997,0.12045288286268412,0.40850756267131344,0.7955478233525314,0.7059580939089803,0.07655618569229554,0.5670333704782025,0.7942237466770271,0.6106659549834997,0.12045288286268412,0.40850756267131344,0.7955478233525314,0.719681331979358,0.10073229196780574,0.4610007084202123,0.8113528533373876,0.6388482140602609,0.074358407932881,0.4301193706368931,0.7490022919352657,0.6106659549834997,0.12045288286268412,0.40850756267131344,0.7955478233525314,0.6106659549834997,0.1204528828626841,0.40850756267131344,0.7955478233525314,0.5896457290191145,0.10065484524547533,0.37274885787550427,0.7537806361185325,0.6106659549834997,0.12045288286268412,0.40850756267131344,0.7955478233525314,0.591219570320411,0.1351247049716819,0.3617159771563536,0.7846265948577682,0.7844291367722411,0.8336936404051933,0.7844291367722411,0.8259747706617482,0.7875936106809959,0.7844291367722411,0.7844291367722411,0.7833624381981019,0.7844291367722411,0.7853386269817257,0.15410928396604323,0.15829146570903752,0.07773253214796613,0.08349053511212219,0.013420360028309116,0.012659943071143478,0.4267762927402952,0.529749578531024,84083,28,568.3227705040008,293.13282785499996,7.017022132873535,7.079740047454834,compiled,862.0434363510012
10,20,0.0009198536119214611,0.6120434828626873,0.12069783296066414,0.4006330808338699,0.7994249416638797,0.7069577190186644,0.07453540254509805,0.5640136126879907,0.7917476795174471,0.6120434828626873,0.12069783296066414,0.4006330808338699,0.7994249416638797,0.720721300083442,0.09987278362533954,0.46282646388486415,0.8115875249828008,0.6404726554764817,0.07594520731098534,0.4173844562403254,0.7533528540828347,0.6120434828626873,0.12069783296066414,0.4006330808338699,0.7994249416638797,0.6120434828626873,0.12069783296066415,0.40063308083386984,0.7994249416638797,0.5907678016477943,0.10129548571544,0.3580310599483093,0.755967569563752,0.6120434828626873,0.12069783296066414,0.4006330808338699,0.7994249416638797,0.5918534702965219,0.13503447274782432,0.35538736697732154,0.7867449259067528,0.7772396995430775,0.829366583135036,0.7772396995430775,0.8237794142893056,0.7895645507385498,0.7772396995430775,0.7772396995430775,0.7817380394754245,0.7772396995430775,0.7784302670839647,0.15037465239374875,0.15440244589701616,0.0751790033548688,0.08084663520931239,0.012828914298746302,0.012057825383625202,0.4099911331495439,0.5144911615227528,84083,30,568.2690307339999,292.96425011499923,7.01708984375,7.079494476318359,compiled,861.828932471999
