benign,accelerationMultiplication,constantPositionOffset,constantSpeedOffset,dataReplay,dosAttack,feignedBraking,positionMirroring,randomPositionOffset,randomSpeedOffset,reversedHeading,suddenConstantSpeed,suddenStop,timeDelayAttack,trafficCongestionSybil,zeroSpeedReport
39223334,40782,9379829,4600916,16069919,245000,42925,21845689,2288,142369,220707,37861,1008109,25487305,1094364,115403
94019,7071974,3581,23688,18210,9169,165211,29170,14,352338,5949,1338,18,29860,68717,1244
1649749,2038,16454577,164053,708087,11181,1712,1313897,671933,6072,7440,2499,57249,921555,147319,4389
1525721,5054,160975,15686709,600538,36322,5103,1718239,36190,407674,319563,42031,3332,685245,202226,223928
4408690,4504,946246,470413,11901413,16490,3772,2109267,310784,181147,51850,19319,370632,2558519,369940,47514
527706,6234,295501,107593,146761,76544216,7264,225871,304852,163273,8997,1584,760,135257,217088,11543
69945,125717,4137,16667,11822,6476,5344031,19571,46,230945,4239,792,19,30348,64999,496
6801988,10037,1943962,2043569,2648414,36391,10013,5040600,105027,26759,87300,12443,158313,4169388,237269,20977
27514,357,308066,57815,278204,4788,487,36537,22447406,9591,70374,12057,288,6294,226195,27977
259258,240752,74866,602250,208410,37313,241166,65405,3711,24481015,66860,118924,146610,156029,307907,97674
201109,1715,16437,671658,221565,13729,2878,250392,705295,37122,11076962,1831,93,67943,230104,1117
31630,969,2410,73022,18569,2129,2217,15885,4889,78639,604,1830395,593,10271,16936,798692
1068207,272,450487,40379,1457971,2340,0,589327,353,125865,282,2078,6061732,642452,51428,79077
7829849,8663,1887005,952511,3400981,53805,11111,4383394,16960,70943,56822,7295,232777,5332447,256154,27983
5596878,54096,763850,932209,6687219,495438,60642,1670862,1134046,2534526,1184379,1260,324972,1130752,96554279,541342
45953,1017,555,86544,54539,6089,1646,16905,25818,98204,1197,2646672,48801,13193,65335,10205482
