benign,accelerationMultiplication,constantPositionOffset,constantSpeedOffset,dataReplay,dosAttack,feignedBraking,positionMirroring,randomPositionOffset,randomSpeedOffset,reversedHeading,suddenConstantSpeed,suddenStop,timeDelayAttack,trafficCongestionSybil,zeroSpeedReport
18247797,17845,3585665,236825,3847974,114242,20901,7654638,833,50697,160680,869,278576,13285614,314409,5155
34668,2997202,1060,4267,2532,3538,14847,7876,6,49409,2043,63,0,13374,18587,328
578733,479,7112075,8144,106620,3819,493,461839,129851,1676,5498,4,10884,384122,45113,150
476340,1616,29360,6616105,38729,16757,2405,675318,32056,406843,70462,45009,589,85843,56442,109666
1505259,1271,235914,22323,5780780,5916,1258,718064,54604,66742,41818,3244,90401,839709,128336,12561
103015,1193,180311,18482,7786,30926940,2412,58630,33899,4669,3933,25,1219,76247,62597,442
28019,10878,496,3375,2713,2880,2269076,3375,9,20622,1869,6,17,9441,19296,28
2661698,3568,876028,567728,501714,14583,3945,2683920,42942,11802,37262,3102,44977,1811289,74668,1754
9984,152,164149,16388,57424,1699,203,20237,9016943,6628,21588,1931,104,2911,76158,9081
90363,23519,777,168363,78941,9414,57625,18214,1134,10218164,8932,36351,9007,13191,93280,15985
101632,709,5616,9190,38575,3137,1206,100040,65469,5814,4957194,21,32,35597,75674,74
8332,286,116,22112,2489,778,194,3861,637,31181,303,733034,172,1742,4989,344914
297411,157,58576,1694,505406,664,1,225138,106,30041,183,763,2854347,193967,12250,48196
3640597,4024,705159,53232,834541,25067,5339,1520383,3937,21564,37220,671,57212,2822522,78308,1704
1922289,33083,436862,291828,3861494,176621,35213,212087,996489,1366370,1181940,39,150040,2306815,34866112,29418
6142,287,121,23051,7593,1829,162,2792,2527,18530,276,874672,19278,1574,9066,4359280
