idx,class,support,share,precision_mean,recall_mean,f1_mean,f1_std,f1_min,f1_max,precision_pooled,recall_pooled,f1_pooled,precision_proxy,recall_proxy,f1_proxy
0,benign,2391136,0.22220,0.568426,0.303245,0.334588,0.204411,0.000044,0.685483,0.546614,0.303245,0.390084,0.666038,0.384147,0.487259
1,accelerationMultiplication,157490,0.01463,0.923483,0.873081,0.876038,0.170471,0.023406,0.964198,0.912539,0.873081,0.892374,0.964656,0.969808,0.967225
2,constantPositionOffset,442475,0.04112,0.757833,0.728961,0.689843,0.152083,0.232857,0.821670,0.526757,0.728961,0.611579,0.801562,0.824193,0.812720
3,constantSpeedOffset,433177,0.04025,0.595336,0.580740,0.499787,0.137611,0.110697,0.692631,0.398848,0.580740,0.472906,0.563588,0.849646,0.677666
4,dataReplay,475410,0.04418,0.390084,0.428394,0.304134,0.056437,0.092063,0.418402,0.225007,0.428394,0.295046,0.417715,0.697876,0.522616
5,dosAttack,1574090,0.14627,0.975607,0.909697,0.929566,0.175145,0.000000,0.995233,0.986300,0.909697,0.946451,0.986672,0.993798,0.990222
6,feignedBraking,118605,0.01102,0.887034,0.868722,0.857065,0.150256,0.048166,0.961174,0.850080,0.868722,0.859299,0.952318,0.965052,0.958643
7,positionMirroring,467049,0.04340,0.142867,0.191405,0.097690,0.072623,0.000000,0.198510,0.111806,0.191405,0.141158,0.163286,0.232939,0.191990
8,randomPositionOffset,470279,0.04370,0.878981,0.946045,0.903584,0.077302,0.584399,0.967939,0.848044,0.946045,0.894368,0.979096,0.967749,0.973389
9,randomSpeedOffset,542163,0.05038,0.850222,0.849731,0.823829,0.136801,0.326295,0.953436,0.797606,0.849731,0.822844,0.975697,0.945760,0.960495
10,reversedHeading,269999,0.02509,0.843271,0.832782,0.815255,0.101567,0.382073,0.905978,0.762724,0.832782,0.796215,0.927095,0.911114,0.919035
11,suddenConstantSpeed,57757,0.00537,0.602092,0.531211,0.439408,0.128719,0.035573,0.653352,0.322440,0.531211,0.401297,0.795358,0.625881,0.700514
12,suddenStop,211445,0.01965,0.755461,0.515842,0.509985,0.179686,0.002890,0.745381,0.541471,0.515842,0.528346,0.921732,0.780468,0.845238
13,timeDelayAttack,490574,0.04559,0.115817,0.188412,0.097756,0.075852,0.000000,0.207506,0.117606,0.188412,0.144817,0.160782,0.236009,0.191265
14,trafficCongestionSybil,2393335,0.22240,0.961165,0.808590,0.855657,0.166285,0.236035,0.973834,0.958330,0.808590,0.877115,0.960928,0.990804,0.975637
15,zeroSpeedReport,266359,0.02475,0.826667,0.769875,0.742808,0.209821,0.009698,0.921869,0.775504,0.769875,0.772679,0.910187,0.962404,0.935567
