cid,accuracy,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted
0,0.711527,0.757449,0.711527,0.753280,0.636514,0.711527,0.711527,0.649971,0.711527,0.713649
1,0.731028,0.688882,0.731028,0.744888,0.653794,0.731028,0.731028,0.619554,0.731028,0.709096
2,0.522918,0.660930,0.522918,0.691016,0.624849,0.522918,0.522918,0.566631,0.522918,0.532600
3,0.597957,0.658031,0.597957,0.695677,0.645212,0.597957,0.597957,0.602620,0.597957,0.593452
4,0.455600,0.625176,0.455600,0.700061,0.529553,0.455600,0.455600,0.473196,0.455600,0.459069
5,0.584058,0.713910,0.584058,0.740707,0.663163,0.584058,0.584058,0.635073,0.584058,0.601072
6,0.577137,0.661425,0.577137,0.727596,0.605973,0.577137,0.577137,0.558941,0.577137,0.610953
7,0.614443,0.695824,0.614443,0.743597,0.692395,0.614443,0.614443,0.642571,0.614443,0.610973
8,0.677456,0.704176,0.677456,0.727895,0.638837,0.677456,0.677456,0.615858,0.677456,0.674917
9,0.690386,0.792527,0.690386,0.771298,0.597064,0.690386,0.690386,0.613101,0.690386,0.695003
10,0.662721,0.739373,0.662721,0.739370,0.603136,0.662721,0.662721,0.599058,0.662721,0.666778
11,0.674205,0.634565,0.674205,0.712320,0.696371,0.674205,0.674205,0.630141,0.674205,0.666900
12,0.650553,0.751221,0.650553,0.750036,0.658020,0.650553,0.650553,0.664330,0.650553,0.667474
13,0.611307,0.643768,0.611307,0.697462,0.618071,0.611307,0.611307,0.542178,0.611307,0.610656
14,0.513363,0.629689,0.513363,0.682745,0.608005,0.513363,0.513363,0.550114,0.513363,0.499607
15,0.617556,0.629317,0.617556,0.712876,0.595282,0.617556,0.617556,0.549251,0.617556,0.598361
16,0.756259,0.747344,0.756259,0.769607,0.700309,0.756259,0.756259,0.715888,0.756259,0.759792
17,0.547574,0.653279,0.547574,0.708057,0.598528,0.547574,0.547574,0.546644,0.547574,0.538210
18,0.633758,0.612042,0.633758,0.730389,0.541468,0.633758,0.633758,0.493503,0.633758,0.639589
19,0.645321,0.666546,0.645321,0.729981,0.689578,0.645321,0.645321,0.621127,0.645321,0.612224
20,0.743644,0.787481,0.743644,0.769371,0.644105,0.743644,0.743644,0.660389,0.743644,0.708239
21,0.742294,0.723114,0.742294,0.750992,0.663762,0.742294,0.742294,0.661874,0.742294,0.727435
22,0.618384,0.694090,0.618384,0.754761,0.658156,0.618384,0.618384,0.592493,0.618384,0.609355
23,0.717577,0.721543,0.717577,0.731503,0.663610,0.717577,0.717577,0.663286,0.717577,0.689615
24,0.663766,0.700508,0.663766,0.750021,0.668574,0.663766,0.663766,0.613006,0.663766,0.660576
25,0.588016,0.621742,0.588016,0.697597,0.664277,0.588016,0.588016,0.577456,0.588016,0.550795
26,0.705546,0.689120,0.705546,0.716904,0.651163,0.705546,0.705546,0.628314,0.705546,0.688878
27,0.666476,0.738273,0.666476,0.762193,0.679228,0.666476,0.666476,0.671732,0.666476,0.670607
28,0.608639,0.707577,0.608639,0.748547,0.676510,0.608639,0.608639,0.627242,0.608639,0.589045
