round,rule,n_clients,accuracy,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,f1_macro_std,f1_macro_min,f1_macro_max
1,proto,100,0.46561198077228844,0.45213072190429443,0.46561198077228844,0.6080393168447097,0.4617278451163894,0.46561198077228844,0.46561198077228844,0.416138722036093,0.46561198077228844,0.48887549237416744,0.05676407049035749,0.22756794556821022,0.5346469779323723
1,clf,100,0.42708014696678664,0.4479546378927003,0.42708014696678664,0.5875854220843001,0.4130731299747574,0.42708014696678664,0.42708014696678664,0.3396735787242132,0.42708014696678664,0.4132984572427123,0.06084110844047116,0.17758874823738022,0.45500311090933737
2,proto,100,0.4807542896829885,0.4950873353267012,0.4807542896829885,0.6307078646658701,0.4878795376621916,0.4807542896829885,0.4807542896829885,0.44739427264092335,0.4807542896829885,0.5019082296244552,0.05785307015847891,0.2642846410062068,0.5471289547188879
2,clf,100,0.4318557841711763,0.46453585611680626,0.4318557841711763,0.5952358170089339,0.42907611594944955,0.4318557841711763,0.4318557841711765,0.35286770732622247,0.4318557841711763,0.4165944149982078,0.061908976174813564,0.17935707546521804,0.46432049560736266
3,proto,100,0.47580732534963327,0.4965355658622581,0.47580732534963327,0.6290622389337021,0.4843275858043781,0.47580732534963327,0.47580732534963327,0.44580718529556806,0.47580732534963327,0.4968358183362074,0.0571981834089253,0.2663620622835085,0.5444934339332379
3,clf,100,0.4212052529131352,0.45839966362023477,0.4212052529131352,0.592404139769746,0.42471418246491155,0.4212052529131352,0.42120525291313526,0.34723376659423877,0.4212052529131352,0.4065513749201346,0.057293211426247465,0.18198663446237462,0.45034797108312796
4,proto,100,0.4709531970126777,0.4944750436004435,0.4709531970126777,0.6245134640244351,0.479663823657342,0.4709531970126777,0.4709531970126777,0.4407399331522081,0.4709531970126777,0.4905671284089159,0.05875127147919787,0.26950963071378276,0.5383790113152135
4,clf,100,0.4144605046043044,0.451934030255551,0.4144605046043044,0.5887488085233538,0.4211694930099536,0.4144605046043044,0.4144605046043044,0.3408626063188028,0.4144605046043044,0.3988249706062932,0.05814430985689105,0.17527999147867557,0.4343575912453652
5,proto,100,0.46782864183401635,0.4988678097574277,0.46782864183401635,0.6215076485498304,0.47614737277196795,0.46782864183401635,0.46782864183401635,0.4402621390788785,0.46782864183401635,0.48560136029526924,0.05772047902553157,0.25959520760616556,0.5282760325406518
5,clf,100,0.4079631064635705,0.44812466177389326,0.4079631064635705,0.5858615406501032,0.4198418212173381,0.4079631064635705,0.4079631064635705,0.3388700937549122,0.4079631064635705,0.3919480765504687,0.05634319270381227,0.17016960489952454,0.45009692340358437
6,proto,100,0.46435767078514284,0.49698000037648143,0.46435767078514284,0.6187078038343138,0.47358596536270725,0.46435767078514284,0.46435767078514284,0.4370810403134298,0.46435767078514284,0.47976516599983365,0.05798273533636901,0.2710563082612947,0.5521358435176733
6,clf,100,0.40591966170021715,0.4454930405118386,0.40591966170021715,0.583315858649783,0.4186438469802593,0.40591966170021715,0.40591966170021715,0.337233023259258,0.40591966170021715,0.38986399035893854,0.058083909311431633,0.1824504392535179,0.4553811759102633
7,proto,100,0.4588900623277226,0.49255912904055954,0.4588900623277226,0.6140086911125424,0.4683674618768189,0.4588900623277226,0.45889006232772256,0.43178737348804325,0.4588900623277226,0.4726994693533122,0.05609549522711018,0.2620944327040603,0.5243297990732985
7,clf,100,0.3987047861962955,0.4408255730713375,0.3987047861962955,0.5805302784257332,0.415386105593903,0.3987047861962955,0.3987047861962955,0.33209073020002455,0.3987047861962955,0.383139152802743,0.05413776045685113,0.17931188236804257,0.4316990254167811
8,proto,100,0.45650807245898567,0.49048807685250984,0.45650807245898567,0.6114822847294112,0.465978733860634,0.45650807245898567,0.45650807245898567,0.4291999414785695,0.45650807245898567,0.4685184306041416,0.0551117307373254,0.24521371646735607,0.5254531259128311
8,clf,100,0.39574446144872416,0.43658944093038327,0.39574446144872416,0.5804157526192929,0.412737626210753,0.39574446144872416,0.39574446144872416,0.3289746215250493,0.39574446144872416,0.37981454126941955,0.054614399698426554,0.159731086715785,0.4265883575555863
9,proto,100,0.4492792925567003,0.49096414013526724,0.4492792925567003,0.6113816646883108,0.4616763911276058,0.4492792925567003,0.4492792925567003,0.4264596657447277,0.4492792925567003,0.4626343656215603,0.05560971871909552,0.2532104127679135,0.5212452387216152
9,clf,100,0.39345220945006576,0.434937416179655,0.39345220945006576,0.5764484116959663,0.4137622937252583,0.39345220945006576,0.39345220945006565,0.3288043770590728,0.39345220945006576,0.37730778255909236,0.05415233337199489,0.17372705003218347,0.43347181396121603
10,proto,100,0.4459785809261911,0.4896762743239939,0.4459785809261911,0.6124079834874361,0.458033891921778,0.4459785809261911,0.4459785809261911,0.4225744617761115,0.4459785809261911,0.46046398850089854,0.05632284577263919,0.25527437651307455,0.5236764515172669
