round,rule,client_id,accuracy,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted
1,proto,0,0.6514579081811629,0.6461947428319269,0.6514579081811629,0.7384445119320258,0.637961902015765,0.6514579081811629,0.6514579081811629,0.6135892711381333,0.6514579081811629,0.6749597915155829
1,proto,1,0.5647974421036482,0.6145816270296965,0.5647974421036482,0.6908284488628207,0.6100061034361324,0.5647974421036482,0.5647974421036481,0.544050322745146,0.5647974421036482,0.5510873919683069
1,proto,2,0.6625086664368937,0.6527488345667605,0.6625086664368937,0.7135768502171013,0.6014126683804,0.6625086664368937,0.6625086664368935,0.6055372908377141,0.6625086664368937,0.6747815519179232
1,proto,3,0.6675476285813026,0.6422033910288268,0.6675476285813026,0.7273646796003267,0.6588205098256006,0.6675476285813026,0.6675476285813025,0.6344954497477178,0.6675476285813026,0.6833217672855716
1,proto,4,0.679446886880197,0.6579138321116706,0.679446886880197,0.7327542135324485,0.6610310567998652,0.679446886880197,0.679446886880197,0.642458935644253,0.679446886880197,0.6964647518726309
1,proto,5,0.663231531603444,0.6557281230063646,0.663231531603444,0.7346169190154955,0.6471774025913111,0.663231531603444,0.6632315316034438,0.63278722052171,0.663231531603444,0.6835677878990456
1,proto,6,0.6984610563941694,0.713429468940757,0.6984610563941694,0.7581540797061317,0.6775156221672546,0.6984610563941694,0.6984610563941694,0.6783211787488748,0.6984610563941694,0.7199017170854397
1,proto,7,0.5668910469631904,0.6231035835563654,0.5668910469631904,0.7131070407821667,0.5657337383830925,0.5668910469631904,0.5668910469631903,0.5641498417121203,0.5668910469631904,0.6058807340212814
1,proto,8,0.6974588580626042,0.7080643787364893,0.6974588580626042,0.7631545069665644,0.7034257169947242,0.6974588580626042,0.6974588580626042,0.6890351708345475,0.6974588580626042,0.714335921118988
1,proto,9,0.6018555490704087,0.6085131083350508,0.6018555490704087,0.7314281413237542,0.5868815332307757,0.6018555490704087,0.6018555490704088,0.5663370607089679,0.6018555490704087,0.6283446921456969
1,proto,10,0.6614095471169351,0.6654435885916932,0.6614095471169351,0.7392032899055734,0.6657572294047713,0.6614095471169351,0.6614095471169351,0.6457229432409577,0.6614095471169351,0.6670598700135699
1,proto,11,0.6672860441303655,0.6135017746681537,0.6672860441303655,0.708622821271151,0.5932587641495004,0.6672860441303655,0.6672860441303654,0.5816225265823589,0.6672860441303655,0.6802652319633457
1,proto,12,0.5138390254822284,0.538771323725513,0.5138390254822284,0.6399687658282331,0.4715220385641684,0.5138390254822284,0.5138390254822284,0.470774155968667,0.5138390254822284,0.5494960168382681
1,proto,13,0.6100548044979144,0.6552101031905216,0.6100548044979144,0.7431677079015894,0.6041435305987929,0.6100548044979144,0.6100548044979145,0.5857813464201658,0.6100548044979144,0.6278615391662343
1,proto,14,0.5940065287390245,0.6258295462993008,0.5940065287390245,0.7285561346157157,0.6049056730734776,0.5940065287390245,0.5940065287390244,0.5613105219022214,0.5940065287390245,0.591807842577883
1,proto,15,0.6046676516118853,0.5946030885875002,0.6046676516118853,0.6975329277466702,0.6377799724839808,0.6046676516118853,0.6046676516118853,0.5811176754880211,0.6046676516118853,0.6228864953397588
1,proto,16,0.5632692871140712,0.5859339404614965,0.5632692871140712,0.7069937227719786,0.6174738268308254,0.5632692871140712,0.5632692871140712,0.5532217645279488,0.5632692871140712,0.5730928918702922
1,proto,17,0.5772190329775754,0.6765143820510221,0.5772190329775754,0.7416118165472871,0.6772248314030186,0.5772190329775754,0.5772190329775754,0.6488560979713243,0.5772190329775754,0.6176151103099803
1,proto,18,0.5939317239493249,0.548659987530684,0.5939317239493249,0.700024537089363,0.6309369092087487,0.5939317239493249,0.5939317239493249,0.532213579046649,0.5939317239493249,0.5742414169171883
1,proto,19,0.645831379968095,0.58990674886397,0.645831379968095,0.6997927486251696,0.6424551323792891,0.645831379968095,0.645831379968095,0.5947355788195907,0.645831379968095,0.6535684936042787
