round,rule,n_clients,accuracy,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,f1_macro_std,f1_macro_min,f1_macro_max
1,proto,50,0.5391598483572172,0.5249953254669465,0.5391598483572172,0.6640802038644664,0.5289633440697146,0.5391598483572172,0.5391598483572172,0.48655729636270173,0.5391598483572172,0.5568289294127353,0.06022933798908632,0.35857962099791774,0.6185702094377055
1,clf,50,0.48811671182676747,0.5218585263762211,0.48811671182676747,0.6288251392722362,0.4732012966126336,0.48811671182676747,0.48811671182676747,0.4051492275004378,0.48811671182676747,0.47392623404597856,0.06885662808698172,0.2671322955044584,0.5478331409052536
2,proto,50,0.549417949042234,0.5706091719222655,0.549417949042234,0.6831456821037208,0.558200340065949,0.549417949042234,0.549417949042234,0.5225307651369931,0.549417949042234,0.5685427929634765,0.058565183957624826,0.4041883048212457,0.657658557839858
2,clf,50,0.49067939382658826,0.5378566494643742,0.49067939382658826,0.6381118093325391,0.49128418476805136,0.49067939382658826,0.49067939382658826,0.4225439460131806,0.49067939382658826,0.47696502878325725,0.06798754645157942,0.26418823507945377,0.5587460337219397
3,proto,50,0.5430340042130428,0.5749512023931006,0.5430340042130428,0.6847767688730819,0.5577137558756857,0.5430340042130428,0.5430340042130429,0.5223041647680159,0.5430340042130428,0.561644804307122,0.059304564228003114,0.4094124789699928,0.6452128659426735
3,clf,50,0.4833086446552258,0.5369590869467629,0.4833086446552258,0.6424012179230583,0.49136811693189364,0.4833086446552258,0.4833086446552258,0.4205989538976859,0.4833086446552258,0.4705254836775628,0.06753613169281521,0.25889570975561765,0.5592667287220929
4,proto,50,0.5427303023423748,0.5796148326616181,0.5427303023423748,0.6819765227657331,0.5584107454078707,0.5427303023423748,0.5427303023423748,0.5249221202949346,0.5427303023423748,0.5606153041843045,0.0602703060416401,0.4033875851871799,0.6408164796286553
4,clf,50,0.4755523766875567,0.5333907945560346,0.4755523766875567,0.6400819050663789,0.4891518857342531,0.4755523766875567,0.4755523766875567,0.4169588969673223,0.4755523766875567,0.461561208268613,0.06871322408855528,0.2586470908889076,0.5608826191971688
5,proto,50,0.5362653564708421,0.5769075859582482,0.5362653564708421,0.68040866016652,0.554234706439466,0.5362653564708421,0.5362653564708421,0.520570961875912,0.5362653564708421,0.5539590150659336,0.05705755722064576,0.3935192460832251,0.6229048909176566
5,clf,50,0.46749392710556664,0.5299638148082095,0.46749392710556664,0.6368539438843477,0.4836503935734694,0.46749392710556664,0.46749392710556664,0.40954191276792934,0.46749392710556664,0.4522194104894349,0.06459397436556688,0.26274186148226186,0.5439581293560779
6,proto,50,0.5334941874819897,0.5816693432896569,0.5334941874819897,0.6811031793531768,0.5534168086927668,0.5334941874819897,0.5334941874819897,0.5209748733175442,0.5334941874819897,0.550534057025682,0.055678427818654806,0.3901715282256822,0.6395349276753323
6,clf,50,0.468165151877419,0.5290504142852288,0.468165151877419,0.6362760776534784,0.48445004265181724,0.468165151877419,0.468165151877419,0.4085275446274608,0.468165151877419,0.45146715888400196,0.06740647567057906,0.264678462496458,0.5534518786477123
7,proto,50,0.528666219448632,0.5811761577199875,0.528666219448632,0.6808555465372079,0.5500270136230145,0.528666219448632,0.528666219448632,0.5176620136221388,0.528666219448632,0.545598283800924,0.0569764316974019,0.41684200976410757,0.6300703371514542
7,clf,50,0.4644681077445446,0.5243524222310798,0.4644681077445446,0.6354259232492372,0.48418737189193634,0.4644681077445446,0.46446810774454456,0.4070659019915526,0.4644681077445446,0.447840965013901,0.06461934377636203,0.2603779834861313,0.5345711501244328
8,proto,50,0.5279677174122225,0.577187874331542,0.5279677174122225,0.6775343188390628,0.548606504333589,0.5279677174122225,0.5279677174122225,0.5151847812790823,0.5279677174122225,0.5455912588627324,0.05888390939189119,0.3926120549910542,0.6300123892309679
8,clf,50,0.46238423587093164,0.5272866531840258,0.46238423587093164,0.6367785166107756,0.4818429162561322,0.46238423587093164,0.4623842358709316,0.40504219821175974,0.46238423587093164,0.4474989645215413,0.06693300912456515,0.24357639039293277,0.5359627954368075
