round,accuracy,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,t_train_s,t_aggregate_s,t_eval_s,t_round_s
18,0.704858,0.703679,0.704858,0.746019,0.740100,0.704858,0.704858,0.703849,0.704858,0.696016,291.0,0.1,16.6,307.7
19,0.703556,0.703170,0.703556,0.746845,0.741731,0.703556,0.703556,0.703932,0.703556,0.695124,289.7,0.1,16.7,306.4
20,0.696126,0.693640,0.696126,0.740873,0.731061,0.696126,0.696126,0.689517,0.696126,0.685250,289.8,0.1,16.7,306.5
21,0.699619,0.692955,0.699619,0.741327,0.736256,0.699619,0.699619,0.693064,0.699619,0.689094,290.9,0.1,16.7,307.7
22,0.700709,0.700712,0.700709,0.745501,0.745200,0.700709,0.700709,0.703434,0.700709,0.689890,290.6,0.1,16.6,307.3
23,0.696612,0.696941,0.696612,0.744094,0.743366,0.696612,0.696612,0.698407,0.696612,0.682974,291.3,0.1,16.7,308.1
24,0.697701,0.696724,0.697701,0.742490,0.738392,0.697701,0.697701,0.695392,0.697701,0.685223,289.6,0.1,16.6,306.3
25,0.699904,0.693684,0.699904,0.742799,0.743981,0.699904,0.699904,0.697029,0.699904,0.686186,290.8,0.1,16.5,307.4
26,0.686873,0.678414,0.686873,0.732974,0.726559,0.686873,0.686873,0.674685,0.686873,0.670850,290.4,0.1,16.6,307.1
27,0.693175,0.692006,0.693175,0.740222,0.740328,0.693175,0.693175,0.692407,0.693175,0.678026,289.6,0.1,16.5,306.2
28,0.694788,0.694477,0.694788,0.743076,0.746880,0.694788,0.694788,0.698442,0.694788,0.679925,290.4,0.1,16.7,307.2
29,0.688699,0.684857,0.688699,0.736829,0.739215,0.688699,0.688699,0.686056,0.688699,0.670363,289.2,0.1,16.5,305.8
30,0.692917,0.691603,0.692917,0.741906,0.744350,0.692917,0.692917,0.693874,0.692917,0.677170,290.1,0.1,16.6,306.8
31,0.693431,0.688921,0.693431,0.740169,0.745028,0.693431,0.693431,0.693281,0.693431,0.677541,290.8,0.1,16.7,307.6
32,0.688282,0.677903,0.688282,0.733285,0.735575,0.688282,0.688282,0.680149,0.688282,0.671036,290.2,0.1,16.6,306.9
33,0.682396,0.676647,0.682396,0.733687,0.736331,0.682396,0.682396,0.677439,0.682396,0.662155,289.5,0.1,16.7,306.2
34,0.688613,0.684248,0.688613,0.739191,0.746933,0.688613,0.688613,0.689993,0.688613,0.670556,290.6,0.1,16.6,307.4
35,0.687938,0.682737,0.687938,0.737855,0.745830,0.687938,0.687938,0.688751,0.687938,0.669466,290.4,0.1,16.6,307.1
36,0.687418,0.683174,0.687418,0.737870,0.745166,0.687418,0.687418,0.688340,0.687418,0.669344,290.9,0.1,16.7,307.7
37,0.685976,0.678943,0.685976,0.736051,0.745237,0.685976,0.685976,0.686011,0.685976,0.667315,289.3,0.1,16.7,306.0
38,0.687879,0.679536,0.687879,0.736612,0.745307,0.687879,0.687879,0.687086,0.687879,0.671036,290.3,0.1,16.7,307.0
39,0.685560,0.675322,0.685560,0.733503,0.743356,0.685560,0.685560,0.683456,0.685560,0.667730,289.3,0.1,16.6,306.0
40,0.678569,0.661359,0.678569,0.726476,0.735437,0.678569,0.678569,0.668675,0.678569,0.657728,290.7,0.1,16.6,307.3
41,0.684827,0.673230,0.684827,0.732902,0.744178,0.684827,0.684827,0.682959,0.684827,0.666767,290.7,0.1,16.7,307.4
42,0.687358,0.678141,0.687358,0.735538,0.746967,0.687358,0.687358,0.688177,0.687358,0.670599,291.3,0.1,16.7,308.0
43,0.688554,0.676499,0.688554,0.733971,0.746480,0.688554,0.688554,0.687558,0.688554,0.672305,290.7,0.1,16.6,307.4
44,0.692341,0.679650,0.692341,0.735207,0.748771,0.692341,0.692341,0.691993,0.692341,0.678131,289.5,0.1,16.6,306.2
45,0.692229,0.678486,0.692229,0.734897,0.747337,0.692229,0.692229,0.690490,0.692229,0.677899,290.3,0.1,16.7,307.0
46,0.695422,0.681587,0.695422,0.736118,0.748153,0.695422,0.695422,0.693882,0.695422,0.682984,290.2,0.1,16.7,306.9
47,0.698773,0.687959,0.698773,0.738916,0.749545,0.698773,0.698773,0.699261,0.698773,0.688188,290.6,0.1,16.7,307.3
48,0.696543,0.682590,0.696543,0.736928,0.742415,0.696543,0.696543,0.691456,0.696543,0.686617,290.3,0.1,16.6,307.0
49,0.704829,0.695070,0.704829,0.742937,0.749068,0.704829,0.704829,0.704636,0.704829,0.697571,291.0,0.1,16.7,307.7
50,0.711642,0.704701,0.711642,0.748813,0.757052,0.711642,0.711642,0.716229,0.711642,0.706442,290.7,0.1,16.7,307.5
