round,accuracy,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,t_train_s,t_aggregate_s,t_eval_s,t_round_s
1,0.499287,0.392680,0.499287,0.512703,0.259154,0.499287,0.499287,0.230599,0.499287,0.436875,388.0,0.1,36.5,424.5
2,0.756020,0.641936,0.756020,0.712660,0.584965,0.756020,0.756020,0.592044,0.756020,0.718519,324.5,0.1,16.3,340.9
3,0.780149,0.708665,0.780149,0.750867,0.684501,0.780149,0.780149,0.689311,0.780149,0.759582,310.0,0.1,16.8,326.9
4,0.761419,0.704880,0.761419,0.751499,0.715839,0.761419,0.761419,0.706890,0.761419,0.754324,307.2,0.1,15.8,323.1
5,0.738970,0.713028,0.738970,0.754798,0.726728,0.738970,0.738970,0.714349,0.738970,0.741118,293.8,0.1,16.6,310.4
6,0.753779,0.714160,0.753779,0.755261,0.729819,0.753779,0.753779,0.717668,0.753779,0.751703,298.9,0.1,18.0,316.9
7,0.745808,0.716361,0.745808,0.755401,0.733736,0.745808,0.745808,0.720220,0.745808,0.745877,289.9,0.1,16.7,306.6
8,0.726176,0.712330,0.726176,0.751746,0.732894,0.726176,0.726176,0.713695,0.726176,0.726754,290.1,0.1,16.7,306.8
9,0.719548,0.714231,0.719548,0.752994,0.733437,0.719548,0.719548,0.712353,0.719548,0.720836,291.4,0.1,16.7,308.1
10,0.719183,0.712947,0.719183,0.751034,0.734043,0.719183,0.719183,0.712239,0.719183,0.719052,290.9,0.1,16.7,307.6
11,0.710088,0.713659,0.710088,0.750606,0.733934,0.710088,0.710088,0.709859,0.710088,0.708432,290.7,0.1,16.7,307.5
12,0.712646,0.711582,0.712646,0.750688,0.736930,0.712646,0.712646,0.710497,0.712646,0.710417,290.4,0.1,16.6,307.0
13,0.715581,0.710031,0.715581,0.749673,0.736291,0.715581,0.715581,0.709975,0.715581,0.713388,291.0,0.1,16.7,307.7
14,0.706636,0.704201,0.706636,0.746379,0.736443,0.706636,0.706636,0.703506,0.706636,0.701084,290.7,0.1,16.7,307.4
15,0.707836,0.703585,0.707836,0.746049,0.740328,0.707836,0.707836,0.705745,0.707836,0.701273,290.3,0.1,16.7,307.1
16,0.703861,0.704576,0.703861,0.746415,0.737216,0.703861,0.703861,0.702535,0.703861,0.695960,289.9,0.1,16.7,306.6
17,0.702639,0.702913,0.702639,0.745212,0.734430,0.702639,0.702639,0.699532,0.702639,0.695168,289.3,0.1,16.7,306.1
