round,accuracy,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,t_train_s,t_aggregate_s,t_eval_s,t_round_s
1,0.513958,0.374855,0.513958,0.500466,0.273247,0.513958,0.513958,0.248100,0.513958,0.449103,631.2,0.1,33.0,664.3
2,0.731654,0.608875,0.731654,0.694806,0.553681,0.731654,0.731654,0.553509,0.731654,0.700659,597.0,0.2,14.3,611.5
3,0.749207,0.668879,0.749207,0.731393,0.632473,0.749207,0.749207,0.635361,0.749207,0.732604,514.4,0.1,14.1,528.6
4,0.737608,0.688863,0.737608,0.739865,0.671834,0.737608,0.737608,0.670430,0.737608,0.732584,524.4,0.1,14.8,539.3
5,0.725030,0.696318,0.725030,0.743571,0.691753,0.725030,0.725030,0.684394,0.725030,0.725748,505.4,0.1,14.4,519.9
6,0.718132,0.693778,0.718132,0.742648,0.700821,0.718132,0.718132,0.688094,0.718132,0.720068,510.9,0.1,14.4,525.4
7,0.710278,0.696561,0.710278,0.744370,0.704751,0.710278,0.710278,0.689604,0.710278,0.712810,504.6,0.1,14.3,519.0
8,0.709881,0.697311,0.709881,0.744150,0.707236,0.709881,0.709881,0.690615,0.709881,0.711911,506.9,0.1,14.3,521.4
9,0.708575,0.699106,0.708575,0.744105,0.709493,0.708575,0.708575,0.690936,0.708575,0.709011,507.9,0.1,14.4,522.4
10,0.705477,0.698918,0.705477,0.744794,0.711071,0.705477,0.705477,0.691256,0.705477,0.706328,508.5,0.2,14.3,522.9
11,0.702337,0.700389,0.702337,0.744952,0.710547,0.702337,0.702337,0.689425,0.702337,0.702196,508.6,0.1,14.4,523.1
12,0.701003,0.696868,0.701003,0.744029,0.716009,0.701003,0.701003,0.691602,0.701003,0.699900,507.4,0.1,14.3,521.8
13,0.697387,0.696788,0.697387,0.744209,0.716612,0.697387,0.697387,0.689805,0.697387,0.694911,508.1,0.1,14.5,522.7
14,0.701470,0.696307,0.701470,0.744529,0.717772,0.701470,0.701470,0.690994,0.701470,0.699601,505.3,0.1,14.4,519.9
15,0.699733,0.693112,0.699733,0.742866,0.717168,0.699733,0.699733,0.688113,0.699733,0.696896,537.9,0.1,14.2,552.2
16,0.692708,0.693414,0.692708,0.742327,0.717079,0.692708,0.692708,0.686370,0.692708,0.688187,534.9,0.1,14.3,549.3
17,0.688596,0.690286,0.688596,0.739714,0.716014,0.688596,0.688596,0.683303,0.688596,0.681852,516.0,0.1,14.3,530.4
18,0.692281,0.691433,0.692281,0.741212,0.715955,0.692281,0.692281,0.683559,0.692281,0.687100,512.2,0.1,14.3,526.7
19,0.687706,0.683325,0.687706,0.737280,0.719189,0.687706,0.687706,0.681129,0.687706,0.679372,515.3,0.1,14.5,529.9
20,0.685980,0.681667,0.685980,0.737462,0.720134,0.685980,0.685980,0.680702,0.685980,0.677220,511.8,0.1,14.3,526.2
21,0.679147,0.675553,0.679147,0.733806,0.715108,0.679147,0.679147,0.671529,0.679147,0.667721,516.2,0.1,14.3,530.7
22,0.680382,0.678036,0.680382,0.735540,0.718985,0.680382,0.680382,0.676012,0.680382,0.669276,514.5,0.1,14.2,528.9
23,0.677129,0.674241,0.677129,0.732395,0.719168,0.677129,0.677129,0.673784,0.677129,0.664091,515.7,0.1,14.1,530.0
24,0.675670,0.673724,0.675670,0.732212,0.718515,0.675670,0.675670,0.672552,0.675670,0.662568,505.2,0.1,14.4,519.7
25,0.671797,0.667485,0.671797,0.729010,0.716523,0.671797,0.671797,0.666417,0.671797,0.655636,509.2,0.1,14.3,523.6
26,0.673582,0.671497,0.673582,0.730900,0.719743,0.673582,0.673582,0.671095,0.673582,0.658758,507.2,0.1,14.3,521.6
27,0.668318,0.657568,0.668318,0.723954,0.711838,0.668318,0.668318,0.655848,0.668318,0.650215,506.5,0.1,14.4,521.1
28,0.672634,0.668806,0.672634,0.730057,0.720266,0.672634,0.672634,0.669611,0.672634,0.657627,504.2,0.1,14.4,518.8
29,0.672088,0.666185,0.672088,0.727175,0.718352,0.672088,0.672088,0.666959,0.672088,0.656109,505.9,0.1,14.3,520.3
30,0.670267,0.662998,0.670267,0.726509,0.719718,0.670267,0.670267,0.665979,0.670267,0.653898,505.6,0.1,14.3,520.1
31,0.672463,0.661785,0.672463,0.725113,0.719374,0.672463,0.672463,0.665467,0.672463,0.656783,504.3,0.1,14.4,518.9
32,0.668611,0.657186,0.668611,0.722768,0.717501,0.668611,0.668611,0.660961,0.668611,0.651516,506.2,0.1,14.4,520.7
