round,accuracy,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,t_train_s,t_aggregate_s,t_eval_s,t_round_s
33,0.663750,0.646145,0.663750,0.717705,0.713656,0.663750,0.663750,0.651041,0.663750,0.644105,502.3,0.1,14.5,516.9
34,0.668154,0.651629,0.668154,0.721253,0.719437,0.668154,0.668154,0.658393,0.668154,0.650286,512.6,0.1,14.3,527.0
35,0.669029,0.652570,0.669029,0.721107,0.720622,0.669029,0.669029,0.660739,0.669029,0.651424,509.1,0.1,14.3,523.6
36,0.669204,0.650416,0.669204,0.719579,0.719508,0.669204,0.669204,0.658633,0.669204,0.651971,524.9,0.1,14.4,539.5
37,0.659387,0.624547,0.659387,0.708904,0.706827,0.659387,0.659387,0.632769,0.659387,0.639138,512.2,0.1,14.2,526.6
38,0.665502,0.638313,0.665502,0.714760,0.714530,0.665502,0.665502,0.647990,0.665502,0.647786,510.7,0.1,14.3,525.0
39,0.667817,0.644183,0.667817,0.717421,0.719601,0.667817,0.667817,0.655904,0.667817,0.651382,509.5,0.1,14.3,523.9
40,0.669695,0.645418,0.669695,0.718299,0.722521,0.669695,0.669695,0.659081,0.669695,0.654380,513.8,0.1,14.5,528.4
41,0.669567,0.646635,0.669567,0.718383,0.721891,0.669567,0.669567,0.659549,0.669567,0.655332,511.4,0.1,14.4,525.9
42,0.668715,0.641730,0.668715,0.716166,0.721445,0.668715,0.668715,0.656179,0.668715,0.653815,511.7,0.1,14.4,526.2
43,0.671761,0.648043,0.671761,0.719180,0.724957,0.671761,0.671761,0.662841,0.671761,0.658254,515.1,0.1,14.4,529.6
44,0.661062,0.624630,0.661062,0.708280,0.711351,0.661062,0.661062,0.636739,0.661062,0.643810,510.7,0.1,14.4,525.2
45,0.676980,0.654713,0.676980,0.721882,0.729268,0.676980,0.676980,0.670540,0.676980,0.665240,509.3,0.1,14.4,523.9
46,0.677679,0.653897,0.677679,0.721822,0.727063,0.677679,0.677679,0.668519,0.677679,0.666246,517.3,0.2,14.3,531.8
47,0.684304,0.663473,0.684304,0.726298,0.732120,0.684304,0.684304,0.678428,0.684304,0.675191,510.6,0.1,14.3,525.0
48,0.688958,0.671291,0.688958,0.730326,0.733766,0.688958,0.688958,0.684605,0.688958,0.681785,510.6,0.1,14.3,525.1
49,0.693475,0.677119,0.693475,0.733455,0.736065,0.693475,0.693475,0.690066,0.693475,0.687761,518.6,0.1,14.2,532.9
50,0.696708,0.682763,0.696708,0.736415,0.737926,0.696708,0.696708,0.694934,0.696708,0.692195,516.1,0.1,14.3,530.5
