round,accuracy,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,train_loss,lr,seconds,samples_per_sec,peak_gb
0,0.8654482995291573,0.8575276404443501,0.8654482995291573,0.8588738866604506,0.8158187718420276,0.8654482995291573,0.8654482995291573,0.8308073115037337,0.8654482995291573,0.8565210294931535,0.22180527448654175,0.001,791.0,54419,6.21
1,0.8551612006047944,0.8469397448108555,0.8551612006047944,0.8485145870299436,0.8154318067096524,0.8551612006047944,0.8551612006047944,0.8258212477125453,0.8551612006047944,0.8474511803150652,0.11764160543680191,0.0009989726963751681,780.4,55154,5.61
2,0.8432039569782321,0.8278664907273157,0.8432039569782321,0.8401613539346972,0.8194996818404345,0.8432039569782321,0.8432039569782321,0.8205415399936484,0.8432039569782321,0.8391510058373735,0.09564750641584396,0.000995895006911623,779.0,55253,5.61
3,0.8452097475194313,0.8329780220200217,0.8452097475194313,0.8403061120322228,0.8155436173225787,0.8452097475194313,0.8452097475194313,0.81920489775568,0.8452097475194313,0.8387400713236859,0.08462578058242798,0.0009907795784955327,778.6,55286,5.61
4,0.8393653097015865,0.8299917706327731,0.8393653097015865,0.837798243701415,0.8179550131168627,0.8393653097015865,0.8393653097015865,0.8208574766862717,0.8393653097015865,0.8357966389404679,0.07757127285003662,0.0009836474315195148,778.5,55295,5.61
5,0.8353170231633729,0.826885942447643,0.8353170231633729,0.8352376641376,0.8172107051794074,0.8353170231633729,0.8353170231633729,0.8176910800831934,0.8353170231633729,0.8311163112333396,0.07269272953271866,0.0009745278735053344,778.1,55321,5.61
6,0.8381862747056756,0.8256139850979172,0.8381862747056756,0.8371296926477784,0.821898193744723,0.8381862747056756,0.8381862747056756,0.8203287469300184,0.8381862747056756,0.8347715448353334,0.06909096986055374,0.0009634583786730109,777.9,55336,5.61
7,0.8384542709957298,0.8135560854830768,0.8384542709957298,0.8340268348816061,0.820533916514577,0.8384542709957298,0.8384542709957298,0.8136680885496816,0.8384542709957298,0.8333249762928865,0.06624168902635574,0.0009504844339512095,778.0,55330,5.61
8,0.837986671366204,0.8221907316734488,0.837986671366204,0.8367487472548316,0.8212655805713782,0.837986671366204,0.837986671366204,0.8177797872475314,0.837986671366204,0.8338829136517132,0.06390785425901413,0.0009356593520616947,779.4,55232,5.61
9,0.8373188179207743,0.8174375779586227,0.8373188179207743,0.8334520527736686,0.8166981210613091,0.8373188179207743,0.8373188179207743,0.8129524570300684,0.8373188179207743,0.832196305775843,0.061892569065093994,0.0009190440524459203,779.9,55193,5.61
10,0.8320949346192199,0.8223797135661884,0.8320949346192199,0.8336269064162714,0.8193385195791569,0.8320949346192199,0.8320949346192199,0.8166494874198553,0.8320949346192199,0.8294401150583139,0.060209278017282486,0.0009007068109339783,779.9,55196,5.61
11,0.8286965669619489,0.8168261139008832,0.8286965669619489,0.8279490989251729,0.8117212580126819,0.8286965669619489,0.8286965669619489,0.8083359591425249,0.8286965669619489,0.8236488343960506,0.058767035603523254,0.0008807229791845672,780.6,55143,5.61
